METRIC,evaluate_dav2_tencode.csv,evaluate_dav2_tencode_pixelcount.csv,evaluate_e2vid_dav2_composite_voxelgrid.csv,evaluate_e2vid_dav2_voxelgrid.csv
_RMS_linear,10.704120,10.832278,[10.888938],10.761232
_RMS_log,0.369555,0.371741,[0.371865],0.366875
_SILog,0.137694,[0.139370],0.139103,0.135198
_abs_rel_diff,0.271901,0.276702,[0.276925],0.271979
_mean_depth_error,8.648870,8.781811,[8.803789],8.629925
_mean_prediction_depth,37.595330,37.551835,37.588025,[37.626602]
_mean_target_depth,37.068851,37.044877,37.064812,[37.088062]
_median_diff,[5.766908],5.668189,5.645565,5.547171
_median_prediction_depth,[40.217156],40.080346,40.058123,39.974923
_median_target_depth,34.596330,34.571543,34.590458,[34.603740]
_squ_rel_diff,0.123396,0.126216,0.128458,[0.132275]
_threshold_delta_1.25,0.495480,0.484038,0.485520,[0.501392]
_threshold_delta_1.25^2,0.876629,0.869097,0.869236,[0.880682]
_threshold_delta_1.25^3,[0.965986],0.965208,0.965825,0.965397
