METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.636111,3.614555,3.041175,3.415212,4.207616,5.338334,4.011801,4.235263,5.922463,8.028906,4.923419
_10_RMS_log,0.394075,0.678876,0.447588,0.526668,0.594181,0.602354,0.779179,0.512278,1.090969,1.046511,0.720710
_10_SILog,0.040847,0.238769,0.074881,0.147232,0.178826,0.273480,0.193093,0.195391,0.306834,0.318795,0.215578
_10_abs_rel_diff,0.382559,0.384566,0.322036,0.344892,0.420962,0.526480,0.433001,0.401347,0.622914,0.849004,0.509834
_10_mean_depth_error,3.365347,3.405604,2.828894,3.082080,3.693109,4.638841,3.848746,3.530458,5.693204,7.724272,4.564848
_10_mean_prediction_depth,9.977462,6.544875,7.295188,7.646437,7.533172,10.084988,5.669611,8.459503,7.286722,10.571565,8.318324
_10_mean_target_depth,8.856434,8.714081,8.870208,8.898504,8.864984,8.669502,8.936517,8.897834,8.464846,7.987615,8.647726
_10_median_diff,3.160846,3.085163,2.664089,2.667124,2.998560,3.875179,3.702359,2.389603,5.528996,7.505148,4.166095
_10_median_prediction_depth,9.907036,6.452991,7.149387,7.263674,7.052864,9.807701,5.533742,7.521610,7.093335,10.503309,8.069262
_10_median_target_depth,8.918360,8.751205,8.914051,8.952555,8.973276,8.711761,9.004804,8.939898,8.514040,8.025145,8.703210
_10_squ_rel_diff,0.268741,0.234998,0.162646,0.213934,0.325183,0.581010,0.272558,0.370844,0.643886,1.499800,0.553998
_10_threshold_delta_1.25,0.386656,0.317460,0.371644,0.408149,0.314880,0.321360,0.245729,0.394654,0.138276,0.117599,0.278876
_10_threshold_delta_1.25^2,0.699669,0.536262,0.648615,0.642799,0.546711,0.519962,0.460612,0.602687,0.285415,0.229015,0.482198
_10_threshold_delta_1.25^3,0.858892,0.678414,0.829640,0.782155,0.716853,0.676925,0.613954,0.765882,0.426072,0.339987,0.628073
_20_RMS_linear,4.608750,3.963503,4.388660,4.794287,5.413415,6.923061,4.105129,4.685740,8.445340,12.540687,6.645317
_20_RMS_log,0.282877,0.324555,0.280411,0.303553,0.351547,0.417860,0.343296,0.312679,0.518796,0.648767,0.408657
_20_SILog,0.040147,0.122599,0.073729,0.094503,0.121101,0.149192,0.128065,0.096007,0.186202,0.213984,0.134413
_20_abs_rel_diff,0.275897,0.221153,0.238271,0.252120,0.278237,0.410296,0.218848,0.250851,0.473509,0.735128,0.375182
