METRIC,interlaken_00_c,interlaken_00_g,thun_00_a,zurich_city_00_a,zurich_city_01_f,MEAN
_10_RMS_linear,7.801600,5.534238,7.348807,4.636874,5.454958,5.681665
_10_RMS_log,0.590440,0.458560,0.569258,0.389336,0.435153,0.457544
_10_SILog,0.080614,0.061408,0.050871,0.082821,0.067320,0.069456
_10_abs_rel_diff,0.776820,0.558713,0.746137,0.415024,0.526528,0.553546
_10_mean_depth_error,6.636066,4.772662,6.476996,3.515697,4.518936,4.735098
_10_mean_prediction_depth,15.153243,12.978562,15.254134,11.556177,12.622409,12.938100
_10_mean_target_depth,8.696012,8.524732,8.872325,8.698505,8.553984,8.607780
_10_median_diff,5.864961,4.128556,5.825370,2.369851,3.623072,3.888250
_10_median_prediction_depth,14.541363,12.619045,14.755222,10.853082,12.077404,12.409179
_10_median_target_depth,8.691624,8.522592,8.929852,8.705462,8.550009,8.609677
_10_squ_rel_diff,0.955930,0.523104,0.792628,0.368016,0.627348,0.591216
_10_threshold_delta_1.25,0.168079,0.260280,0.170565,0.432532,0.346114,0.309161
_10_threshold_delta_1.25^2,0.426474,0.568091,0.375591,0.736782,0.657459,0.606418
_10_threshold_delta_1.25^3,0.691206,0.799037,0.696720,0.910174,0.849480,0.820993
_20_RMS_linear,6.280600,4.886422,5.545396,4.310787,4.657958,4.887510
_20_RMS_log,0.397727,0.336310,0.353927,0.316489,0.319844,0.334715
_20_SILog,0.118299,0.098791,0.086880,0.096103,0.086785,0.095808
_20_abs_rel_diff,0.398361,0.323292,0.346177,0.286904,0.299151,0.317576
_20_mean_depth_error,4.696976,3.862580,4.137997,3.270545,3.550916,3.747275
_20_mean_prediction_depth,16.602329,15.231810,16.821975,13.445966,14.447757,14.843201
_20_mean_target_depth,13.510141,13.472451,13.848595,12.352466,12.767500,13.028751
_20_median_diff,2.389839,1.644166,2.312670,1.001646,1.480314,1.578884
_20_median_prediction_depth,15.621937,14.499343,16.083360,12.535810,13.670962,14.030460
_20_median_target_depth,13.352872,13.256906,13.771553,11.918878,12.408930,12.734133
_20_squ_rel_diff,0.342692,0.217031,0.267998,0.184917,0.199820,0.221861
_20_threshold_delta_1.25,0.464120,0.501992,0.527174,0.531717,0.547585,0.520452
_20_threshold_delta_1.25^2,0.745779,0.802285,0.797702,0.848962,0.834242,0.815850
_20_threshold_delta_1.25^3,0.895588,0.935572,0.920396,0.960353,0.944658,0.938275
_30_RMS_linear,5.948930,4.594422,4.938731,4.222243,4.335148,4.605526
_30_RMS_log,0.342171,0.287076,0.286103,0.288827,0.281357,0.291830
_30_SILog,0.110949,0.085987,0.077346,0.083945,0.079602,0.085851
_30_abs_rel_diff,0.311320,0.251571,0.248301,0.245092,0.240087,0.253112
_30_mean_depth_error,4.512452,3.614348,3.694520,3.194680,3.235733,3.508595
_30_mean_prediction_depth,19.275982,18.138081,19.721731,15.803044,16.681326,17.381593
_30_mean_target_depth,17.835804,17.525000,18.557423,15.224564,15.969097,16.617382
_30_median_diff,1.386692,1.207148,1.366225,1.037071,1.068152,1.154325
_30_median_prediction_depth,18.436509,16.972153,19.004701,14.519931,15.431087,16.224189
_30_median_target_depth,17.527342,16.792742,18.121876,13.874011,14.773642,15.666342
_30_squ_rel_diff,0.229978,0.142931,0.160039,0.140679,0.132899,0.150044
_30_threshold_delta_1.25,0.555600,0.605099,0.649691,0.602789,0.625290,0.608056
_30_threshold_delta_1.25^2,0.821212,0.868821,0.885966,0.881682,0.883090,0.871648
_30_threshold_delta_1.25^3,0.931142,0.961711,0.957036,0.969912,0.967227,0.961465
_RMS_linear,6.372860,4.643975,4.894408,4.416060,4.829168,4.874297
_RMS_log,0.302919,0.248334,0.237566,0.263341,0.260105,0.261170
_SILog,0.094133,0.065712,0.057699,0.071158,0.070923,0.071478
_abs_rel_diff,0.249800,0.198730,0.184037,0.205970,0.210250,0.209292
_mean_depth_error,4.632295,3.557230,3.653515,3.214189,3.522282,3.605398
_mean_prediction_depth,25.831479,25.239647,28.031579,21.518981,22.089205,23.624061
_mean_target_depth,25.835532,25.240007,28.034373,21.518822,22.091839,23.625643
_median_diff,1.512718,1.223962,1.371975,1.199149,1.224789,1.260347
_median_prediction_depth,22.744819,21.555598,24.567882,17.581006,18.618522,20.041760
_median_target_depth,22.555312,21.728819,25.148420,17.084364,18.212873,19.860759
_squ_rel_diff,0.166950,0.100177,0.100918,0.108364,0.107747,0.112205
_threshold_delta_1.25,0.642236,0.702735,0.757085,0.676992,0.677009,0.684528
_threshold_delta_1.25^2,0.860913,0.906639,0.927663,0.904011,0.902067,0.900325
_threshold_delta_1.25^3,0.948986,0.974706,0.973757,0.974840,0.972704,0.971018
