METRIC,interlaken_00_c,interlaken_00_g,thun_00_a,zurich_city_00_a,zurich_city_01_f,MEAN
_10_RMS_linear,6.769679,3.873257,5.010387,3.987576,5.252904,4.760905
_10_RMS_log,0.536692,0.411018,0.455870,0.403126,0.430976,0.433107
_10_SILog,0.049286,0.132195,0.116840,0.118044,0.060146,0.094380
_10_abs_rel_diff,0.690755,0.364930,0.474257,0.358589,0.519944,0.459862
_10_mean_depth_error,5.910934,3.147229,4.142871,3.044813,4.464212,3.946826
_10_mean_prediction_depth,14.498442,9.880339,11.809537,10.286959,12.586849,11.519684
_10_mean_target_depth,8.696012,8.526203,8.872396,8.699516,8.553983,8.608414
_10_median_diff,5.281088,2.036511,2.935630,1.937443,3.637952,2.984459
_10_median_prediction_depth,13.956776,9.502206,11.203203,9.919878,12.116049,11.081510
_10_median_target_depth,8.691624,8.524829,8.929923,8.706920,8.550009,8.610623
_10_squ_rel_diff,0.705903,0.253994,0.381402,0.293846,0.554642,0.423450
_10_threshold_delta_1.25,0.159047,0.409031,0.291892,0.477349,0.343313,0.365484
_10_threshold_delta_1.25^2,0.446694,0.698606,0.635407,0.778589,0.642654,0.663309
_10_threshold_delta_1.25^3,0.759265,0.864217,0.859292,0.896722,0.838669,0.849687
_20_RMS_linear,5.773803,4.191075,4.723176,3.793862,4.601108,4.461099
_20_RMS_log,0.370737,0.325013,0.344647,0.319249,0.319615,0.328324
_20_SILog,0.094492,0.105018,0.113445,0.101906,0.079500,0.094912
_20_abs_rel_diff,0.371069,0.257964,0.290351,0.248117,0.304732,0.286681
_20_mean_depth_error,4.433719,3.217097,3.599785,2.815757,3.612171,3.430997
_20_mean_prediction_depth,16.590666,14.407515,15.683287,13.225734,14.757150,14.605635
_20_mean_target_depth,13.510141,13.473863,13.848696,12.350045,12.767513,13.028677
_20_median_diff,2.470001,1.270249,1.859023,1.089114,1.825112,1.591933
_20_median_prediction_depth,15.731220,13.939454,15.438885,12.725037,14.064569,14.020617
_20_median_target_depth,13.352872,13.257923,13.771624,11.919678,12.408961,12.734604
_20_squ_rel_diff,0.275231,0.131730,0.179666,0.145578,0.193751,0.174781
_20_threshold_delta_1.25,0.467162,0.575130,0.549921,0.612644,0.539075,0.556646
_20_threshold_delta_1.25^2,0.765800,0.849932,0.837938,0.879287,0.828575,0.838241
_20_threshold_delta_1.25^3,0.917086,0.952530,0.930014,0.952171,0.944343,0.944396
_30_RMS_linear,5.671454,4.187265,4.604488,3.877421,4.325551,4.365172
_30_RMS_log,0.325343,0.284501,0.295332,0.296717,0.282714,0.291673
_30_SILog,0.099428,0.086092,0.092731,0.092746,0.077528,0.086418
_30_abs_rel_diff,0.297965,0.209545,0.226589,0.215667,0.244726,0.233905
_30_mean_depth_error,4.421682,3.171344,3.542100,2.861310,3.318378,3.322654
_30_mean_prediction_depth,19.285145,18.210792,19.741402,15.858340,16.838363,17.469362
_30_mean_target_depth,17.835804,17.527117,18.557620,15.224965,15.969116,16.618091
_30_median_diff,1.314738,1.135936,1.617628,1.085676,1.377766,1.253626
_30_median_prediction_depth,18.269890,17.418261,19.502640,14.550883,15.798159,16.490620
_30_median_target_depth,17.527342,16.796736,18.122160,13.874787,14.773647,15.667669
_30_squ_rel_diff,0.191793,0.092221,0.118360,0.110652,0.129299,0.121490
_30_threshold_delta_1.25,0.544542,0.674890,0.668373,0.669508,0.617568,0.638819
_30_threshold_delta_1.25^2,0.831892,0.894654,0.886906,0.900507,0.879356,0.882951
_30_threshold_delta_1.25^3,0.943191,0.966412,0.951922,0.961093,0.965639,0.961627
_RMS_linear,6.390752,4.659586,5.187478,4.429247,5.000063,4.956839
_RMS_log,0.293401,0.253058,0.255033,0.273621,0.264840,0.266030
_SILog,0.089246,0.068688,0.070679,0.079408,0.073450,0.074975
_abs_rel_diff,0.243803,0.173960,0.179454,0.185563,0.215407,0.198815
_mean_depth_error,4.691025,3.407740,3.919496,3.107630,3.690958,3.618514
_mean_prediction_depth,25.843078,25.250383,28.047260,21.538120,22.071468,23.627166
_mean_target_depth,25.846217,25.247709,28.047257,21.524802,22.080308,23.627062
_median_diff,1.670690,1.386956,1.576327,1.297024,1.398824,1.415421
_median_prediction_depth,22.524199,22.698540,25.645914,17.684725,18.674468,20.441985
_median_target_depth,22.561106,21.735407,25.159846,17.083229,18.206312,19.861460
_squ_rel_diff,0.142573,0.068993,0.078793,0.086218,0.105035,0.093806
_threshold_delta_1.25,0.626991,0.749167,0.751148,0.725563,0.664402,0.701439
_threshold_delta_1.25^2,0.864104,0.920937,0.919655,0.916270,0.896588,0.905038
_threshold_delta_1.25^3,0.955638,0.974259,0.967431,0.966745,0.969712,0.968672
