METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.355016,3.166640,3.428965,4.087917,4.888230,5.223640,4.176285,4.722313,4.905743,5.011576,4.422598
_10_RMS_log,0.329566,0.527748,0.529027,0.689365,0.789029,0.694975,0.764338,0.769022,0.792848,0.837652,0.695328
_10_SILog,0.029686,0.149715,0.071834,0.169519,0.242459,0.387277,0.151605,0.373610,0.147437,0.247724,0.202835
_10_abs_rel_diff,0.350209,0.337451,0.373778,0.438088,0.519318,0.518651,0.455485,0.483986,0.525606,0.525786,0.465705
_10_mean_depth_error,3.079408,2.980753,3.300125,3.898712,4.555957,4.581798,4.027173,4.272232,4.756303,4.770792,4.147136
_10_mean_prediction_depth,10.377216,6.780214,7.120988,6.615712,6.185040,8.958401,5.363620,6.822858,7.791135,7.661256,7.429628
_10_mean_target_depth,8.854189,8.709279,8.879466,8.880339,8.867289,8.681114,8.916960,8.912747,8.859308,8.473545,8.773698
_10_median_diff,2.846406,2.710276,3.235095,3.570746,3.878844,3.805158,3.862858,3.443905,4.666255,4.571351,3.790415
_10_median_prediction_depth,10.222024,6.628631,7.060055,6.273025,5.705333,8.693979,5.245275,5.944020,7.711154,7.603144,7.194121
_10_median_target_depth,8.915830,8.746952,8.924736,8.934656,8.974701,8.721532,8.988504,8.957418,8.914511,8.515750,8.830937
_10_squ_rel_diff,0.250282,0.183107,0.185690,0.270823,0.379084,0.516008,0.285051,0.388376,0.462999,0.539308,0.373274
_10_threshold_delta_1.25,0.472362,0.349455,0.214053,0.222579,0.114308,0.273023,0.175983,0.214067,0.231650,0.230704,0.250526
_10_threshold_delta_1.25^2,0.751804,0.597458,0.586038,0.431963,0.314583,0.495117,0.376612,0.428225,0.412822,0.407839,0.464426
_10_threshold_delta_1.25^3,0.901046,0.758023,0.809880,0.626595,0.553140,0.643382,0.577474,0.610507,0.576006,0.542381,0.637845
_20_RMS_linear,4.222386,3.519133,4.800797,4.755032,5.422383,6.275066,4.020295,4.779642,6.589359,7.882166,5.491791
_20_RMS_log,0.249660,0.273042,0.305488,0.333324,0.390604,0.425497,0.340951,0.389111,0.412139,0.475418,0.371906
_20_SILog,0.033793,0.088868,0.091961,0.118719,0.160652,0.196108,0.123141,0.168679,0.124235,0.182575,0.134224
_20_abs_rel_diff,0.242696,0.193667,0.256046,0.257781,0.291664,0.361900,0.217948,0.273529,0.366798,0.429576,0.303712
_20_mean_depth_error,3.323900,2.656208,3.616188,3.672505,3.969559,4.780099,2.926254,3.630803,5.443105,6.300893,4.265081
_20_mean_prediction_depth,17.017723,15.305367,16.421030,16.473374,15.960398,17.323414,14.657539,15.201884,18.567475,19.123128,16.890503
_20_mean_target_depth,14.498504,14.622212,14.656133,14.941345,14.648977,14.202508,14.653857,14.406105,15.434238,15.233905,14.797802
_20_median_diff,2.493979,1.188479,1.645229,1.537240,1.418151,3.130995,1.201398,1.179973,3.965062,4.273529,2.455675
_20_median_prediction_depth,16.944139,15.431937,16.174004,16.517576,15.827821,17.274286,14.636448,15.192285,18.254202,18.560449,16.741296
_20_median_target_depth,14.784437,14.881754,14.895616,15.427062,14.992807,14.252788,14.977488,14.618919,15.809033,15.418739,15.079881
