METRIC,interlaken_00_c,interlaken_00_g,thun_00_a,zurich_city_00_a,zurich_city_01_f,MEAN
_10_RMS_linear,9.830338,6.606559,9.723792,4.946596,6.831818,6.880900
_10_RMS_log,0.713491,0.548489,0.701271,0.440210,0.532288,0.548006
_10_SILog,0.049584,0.085656,0.057677,0.089929,0.061458,0.072658
_10_abs_rel_diff,1.060072,0.689872,1.018344,0.497735,0.709236,0.717334
_10_mean_depth_error,9.089565,5.944763,8.925292,4.223985,6.106256,6.168833
_10_mean_prediction_depth,17.686029,13.832641,17.723553,12.069355,14.341335,14.295430
_10_mean_target_depth,8.696012,8.524803,8.872325,8.698540,8.553977,8.607806
_10_median_diff,8.503431,5.210837,8.473347,3.347100,5.448002,5.463316
_10_median_prediction_depth,17.184488,13.569521,17.403199,11.829585,13.974372,13.971081
_10_median_target_depth,8.691624,8.522814,8.929852,8.705505,8.550009,8.609750
_10_squ_rel_diff,1.525333,0.733582,1.361746,0.482856,0.901956,0.864241
_10_threshold_delta_1.25,0.090644,0.195671,0.057332,0.339916,0.229188,0.217059
_10_threshold_delta_1.25^2,0.235063,0.421111,0.248206,0.654356,0.487488,0.460577
_10_threshold_delta_1.25^3,0.461849,0.679589,0.500774,0.848443,0.718092,0.692505
_20_RMS_linear,7.598658,5.765775,8.059555,4.525341,6.076545,5.950563
_20_RMS_log,0.469998,0.403895,0.476543,0.353252,0.402262,0.404469
_20_SILog,0.113100,0.111827,0.114528,0.108674,0.090732,0.104293
_20_abs_rel_diff,0.530959,0.399591,0.548165,0.331582,0.436364,0.421200
_20_mean_depth_error,6.145429,4.903822,6.740684,3.630609,5.088398,4.946818
_20_mean_prediction_depth,18.721371,16.650106,19.440863,14.254520,16.465134,16.484788
_20_mean_target_depth,13.510141,13.472660,13.848595,12.352527,12.767581,13.028852
_20_median_diff,4.636148,3.190683,5.022420,2.015632,3.638421,3.366597
_20_median_prediction_depth,17.938802,16.299351,18.786011,13.771151,15.935449,15.980396
_20_median_target_depth,13.352872,13.257157,13.771553,11.918904,12.408930,12.734211
_20_squ_rel_diff,0.539838,0.277833,0.526176,0.242916,0.391555,0.352662
_20_threshold_delta_1.25,0.356188,0.380588,0.303524,0.503355,0.426611,0.414387
_20_threshold_delta_1.25^2,0.639990,0.717445,0.598653,0.803113,0.715992,0.719239
_20_threshold_delta_1.25^3,0.820999,0.901347,0.819677,0.923544,0.865062,0.879969
_30_RMS_linear,7.154346,5.624612,7.501840,4.614389,5.623949,5.693492
_30_RMS_log,0.406426,0.355498,0.400067,0.330818,0.356976,0.359196
_30_SILog,0.138978,0.114248,0.124493,0.110383,0.104763,0.113633
_30_abs_rel_diff,0.403130,0.313481,0.405166,0.282025,0.340716,0.331493
_30_mean_depth_error,5.725284,4.672297,6.209383,3.612365,4.518111,4.605955
_30_mean_prediction_depth,20.587639,19.423951,22.031157,16.336824,17.959527,18.567834
_30_mean_target_depth,17.835804,17.525401,18.557423,15.224757,15.969187,16.617567
_30_median_diff,2.458127,2.177106,3.346443,1.595785,2.507824,2.264490
_30_median_prediction_depth,19.659043,18.645946,21.109542,15.158707,17.021837,17.629321
_30_median_target_depth,17.527342,16.793323,18.121876,13.874055,14.773650,15.666521
_30_squ_rel_diff,0.353912,0.185211,0.328386,0.178351,0.255074,0.234559
_30_threshold_delta_1.25,0.448884,0.496638,0.407862,0.567364,0.504643,0.503611
_30_threshold_delta_1.25^2,0.733304,0.798422,0.738122,0.830998,0.789066,0.791188
_30_threshold_delta_1.25^3,0.883019,0.930435,0.897189,0.936493,0.914133,0.918899
_RMS_linear,8.424206,6.492023,8.210731,5.325475,6.584005,6.599229
_RMS_log,0.377320,0.327007,0.354018,0.313040,0.338694,0.335380
_SILog,0.145229,0.111203,0.129204,0.105888,0.121269,0.118427
_abs_rel_diff,0.331744,0.258672,0.306082,0.241182,0.287705,0.275927
_mean_depth_error,6.359940,5.056651,6.506292,3.891678,4.930707,5.003132
_mean_prediction_depth,25.860455,25.218091,28.039946,21.503993,22.044976,23.603528
_mean_target_depth,25.861603,25.222051,28.043171,21.504963,22.059230,23.610021
_median_diff,2.170316,1.569186,1.973881,1.339017,1.634763,1.635386
_median_prediction_depth,22.954639,22.407278,25.762929,17.603243,18.932149,20.485005
_median_target_depth,22.567573,21.721449,25.154997,17.078447,18.204008,19.856173
_squ_rel_diff,0.258964,0.136512,0.210970,0.139598,0.190193,0.173462
_threshold_delta_1.25,0.516655,0.583825,0.526021,0.633631,0.563549,0.576264
_threshold_delta_1.25^2,0.770739,0.833101,0.805902,0.852470,0.813775,0.821817
_threshold_delta_1.25^3,0.903058,0.941168,0.926562,0.941233,0.925151,0.930553
