METRIC,interlaken_00_c,interlaken_00_g,thun_00_a,zurich_city_00_a,zurich_city_01_f,MEAN
_10_RMS_linear,6.944475,4.239952,5.843518,4.890239,6.206092,5.437876
_10_RMS_log,0.540024,0.401001,0.476828,0.429734,0.487518,0.456332
_10_SILog,0.060199,0.107812,0.105422,0.134373,0.079894,0.098054
_10_abs_rel_diff,0.696148,0.394123,0.536290,0.436338,0.614788,0.520196
_10_mean_depth_error,5.955558,3.392977,4.697077,3.690474,5.277021,4.459389
_10_mean_prediction_depth,14.591058,10.636704,12.896251,11.274204,13.346865,12.264174
_10_mean_target_depth,8.696012,8.525323,8.872325,8.699073,8.553995,8.608070
_10_median_diff,5.413548,2.330768,3.330549,2.498842,4.350981,3.461939
_10_median_prediction_depth,14.097171,10.199784,12.043826,10.765940,12.795564,11.745800
_10_median_target_depth,8.691624,8.523193,8.929852,8.705645,8.550050,8.609902
_10_squ_rel_diff,0.771512,0.316656,0.506015,0.513636,0.770719,0.573786
_10_threshold_delta_1.25,0.185914,0.397673,0.301318,0.459599,0.309293,0.350622
_10_threshold_delta_1.25^2,0.480402,0.707833,0.616184,0.755309,0.580317,0.642948
_10_threshold_delta_1.25^3,0.756762,0.867599,0.813794,0.880139,0.776158,0.823381
_20_RMS_linear,6.572966,4.504863,5.617865,4.646348,5.931988,5.316806
_20_RMS_log,0.406232,0.323046,0.366430,0.352840,0.389705,0.363680
_20_SILog,0.122090,0.101398,0.117346,0.132211,0.105258,0.112195
_20_abs_rel_diff,0.423172,0.277335,0.335872,0.303977,0.404187,0.345872
_20_mean_depth_error,5.149573,3.443806,4.057752,3.407198,4.791809,4.124865
_20_mean_prediction_depth,16.944280,14.753743,16.303207,13.659417,15.932038,15.266671
_20_mean_target_depth,13.510141,13.473136,13.848595,12.353912,12.767548,13.029259
_20_median_diff,2.705988,1.444659,1.985052,1.241907,2.864844,2.061167
_20_median_prediction_depth,15.913216,14.167080,15.668294,12.930934,15.177910,14.540128
_20_median_target_depth,13.352872,13.257497,13.771553,11.920173,12.408977,12.734583
_20_squ_rel_diff,0.350133,0.158061,0.269146,0.252943,0.329355,0.263661
_20_threshold_delta_1.25,0.402801,0.547818,0.545202,0.558621,0.431688,0.493514
_20_threshold_delta_1.25^2,0.719908,0.842106,0.801280,0.842180,0.728613,0.787200
_20_threshold_delta_1.25^3,0.888347,0.950563,0.903454,0.935577,0.895546,0.919142
_30_RMS_linear,6.452382,4.389969,5.194005,4.636070,5.498899,5.098261
_30_RMS_log,0.358768,0.281387,0.306861,0.326987,0.345090,0.322628
_30_SILog,0.122512,0.084155,0.097219,0.118717,0.110392,0.105232
_30_abs_rel_diff,0.341713,0.223736,0.253586,0.261889,0.320999,0.279826
_30_mean_depth_error,5.128275,3.342153,3.820739,3.412203,4.342599,3.928916
_30_mean_prediction_depth,19.662877,18.296411,19.881313,16.037412,17.507341,17.809246
_30_mean_target_depth,17.835804,17.525917,18.557423,15.228309,15.969162,16.618430
_30_median_diff,1.606118,1.235943,1.749094,1.360224,2.151679,1.642322
_30_median_prediction_depth,18.682022,17.427227,19.426669,14.808442,16.628038,16.871942
_30_median_target_depth,17.527342,16.793766,18.121876,13.874944,14.773668,15.666836
_30_squ_rel_diff,0.246210,0.111680,0.169464,0.187717,0.220635,0.182807
_30_threshold_delta_1.25,0.477976,0.651847,0.644122,0.608948,0.509348,0.574047
_30_threshold_delta_1.25^2,0.793563,0.886172,0.867786,0.868492,0.803208,0.842643
_30_threshold_delta_1.25^3,0.923931,0.964280,0.941062,0.948237,0.930855,0.943763
_RMS_linear,7.018590,4.797043,5.317396,4.848208,6.026056,5.510467
_RMS_log,0.320582,0.250485,0.257969,0.296362,0.318145,0.291357
_SILog,0.106720,0.067864,0.072086,0.097316,0.106327,0.091667
_abs_rel_diff,0.279594,0.184631,0.192979,0.218598,0.273997,0.233403
_mean_depth_error,5.397237,3.558018,3.967931,3.484796,4.653082,4.150512
_mean_prediction_depth,25.834963,25.245706,28.035862,21.541446,22.024938,23.609122
_mean_target_depth,25.838991,25.244477,28.038073,21.528398,22.045520,23.613705
_median_diff,1.893190,1.386123,1.670126,1.394990,1.905591,1.638246
_median_prediction_depth,23.345887,22.449268,25.572304,17.875473,19.166055,20.667639
_median_target_depth,22.556812,21.732307,25.151311,17.105060,18.178299,19.854524
_squ_rel_diff,0.181236,0.082213,0.107660,0.138577,0.168890,0.135972
_threshold_delta_1.25,0.564290,0.730863,0.736876,0.677910,0.566348,0.645082
_threshold_delta_1.25^2,0.839298,0.915469,0.911555,0.894808,0.837491,0.875685
_threshold_delta_1.25^3,0.943573,0.973295,0.963209,0.959718,0.945397,0.957071
