METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,5.119388,3.115535,2.958965,2.607413,2.989682,2.799220,2.989305,2.947950,3.609801,6.229712,3.770935
_10_RMS_log,0.456485,0.409115,0.313446,0.344114,0.429998,0.330306,0.374024,0.497065,0.351483,0.623923,0.428980
_10_SILog,0.015167,0.042374,0.012340,0.023866,0.041415,0.054733,0.018745,0.107624,0.015570,0.064380,0.039668
_10_abs_rel_diff,0.568192,0.340597,0.330427,0.282542,0.314285,0.275451,0.322148,0.319419,0.386079,0.674189,0.405468
_10_mean_depth_error,4.992343,2.995357,2.900897,2.499315,2.742832,2.437065,2.836300,2.807161,3.483267,6.089120,3.603750
_10_mean_prediction_depth,12.829242,8.838291,10.904666,7.899382,6.780760,9.018926,8.683504,6.443060,10.793566,12.578908,9.671193
_10_mean_target_depth,8.852672,8.697509,8.863305,8.906809,8.849687,8.660893,8.893758,8.903808,9.042214,8.977076,8.874665
_10_median_diff,4.888997,2.918747,2.880372,2.411605,2.564757,2.164026,2.753478,2.758203,3.388285,5.973114,3.483593
_10_median_prediction_depth,12.817275,8.834461,10.904205,7.887519,6.747280,8.846327,8.720950,6.349118,10.757362,12.520776,9.630579
_10_median_target_depth,8.913775,8.734960,8.907484,8.961616,8.960691,8.700742,8.965036,8.946507,9.103801,9.028589,8.934403
_10_squ_rel_diff,0.517503,0.179980,0.135200,0.117205,0.152283,0.132128,0.157117,0.156780,0.309523,0.842147,0.321415
_10_threshold_delta_1.25,0.274063,0.358558,0.302727,0.399530,0.340213,0.443441,0.373006,0.336695,0.429007,0.244722,0.350302
_10_threshold_delta_1.25^2,0.521353,0.682793,0.883564,0.754315,0.627274,0.815130,0.722154,0.617837,0.714929,0.445478,0.650247
_10_threshold_delta_1.25^3,0.779877,0.859694,0.964281,0.921053,0.829619,0.902196,0.884529,0.807790,0.866320,0.639948,0.825300
_20_RMS_linear,5.579063,3.553098,4.490825,3.026721,3.431748,3.793357,3.152059,3.460746,5.095191,6.703386,4.392879
_20_RMS_log,0.332991,0.242676,0.235341,0.198239,0.237595,0.235987,0.219539,0.262724,0.267524,0.365392,0.267522
_20_SILog,0.023269,0.043702,0.026631,0.033680,0.054545,0.047849,0.028226,0.078989,0.031700,0.044989,0.040888
_20_abs_rel_diff,0.375431,0.201888,0.219165,0.152087,0.164228,0.184676,0.185284,0.172450,0.266990,0.400038,0.245720
_20_mean_depth_error,5.100799,2.755276,3.062173,2.110444,2.229687,2.470303,2.525280,2.327386,3.935711,5.748284,3.431239
_20_mean_prediction_depth,19.294852,16.437333,17.532825,15.823810,15.123556,15.749938,16.162725,14.682143,18.749580,20.055106,17.212851
_20_mean_target_depth,14.496773,14.609601,14.645674,14.931332,14.638579,14.168251,14.638195,14.396530,15.401334,15.172746,14.773921
_20_median_diff,4.776942,2.031668,2.475485,1.203513,0.849810,1.545261,1.989005,0.911694,3.165212,4.972676,2.599857
_20_median_prediction_depth,19.512185,16.597311,17.362824,16.189749,15.219644,15.429988,16.544414,14.689029,18.635357,19.783411,17.249438
_20_median_target_depth,14.782601,14.870038,14.887339,15.420971,14.986263,14.215373,14.965828,14.610309,15.790583,15.367852,15.060594
_20_squ_rel_diff,0.233914,0.084205,0.104144,0.054816,0.069915,0.087546,0.068066,0.070616,0.175450,0.338944,0.146465
_20_threshold_delta_1.25,0.401870,0.717495,0.721014,0.801655,0.768884,0.758968,0.749510,0.751186,0.627424,0.451335,0.654989
_20_threshold_delta_1.25^2,0.785566,0.931354,0.950359,0.952245,0.921930,0.936766,0.944921,0.906992,0.881807,0.750090,0.882283
_20_threshold_delta_1.25^3,0.944773,0.976679,0.982387,0.986866,0.970082,0.972963,0.982804,0.961264,0.961879,0.897564,0.958290
_30_RMS_linear,5.727588,4.140964,5.539952,3.818588,4.320507,5.076154,3.950822,4.538036,6.385688,7.433509,5.231422
_30_RMS_log,0.275869,0.209618,0.222543,0.181169,0.213594,0.228997,0.194422,0.245252,0.247685,0.312828,0.238014
_30_SILog,0.029927,0.037309,0.033663,0.029729,0.046650,0.048029,0.025778,0.070499,0.032841,0.043436,0.038898
_30_abs_rel_diff,0.280881,0.167166,0.191651,0.136674,0.151475,0.176211,0.159980,0.166125,0.226591,0.316319,0.206163
_30_mean_depth_error,4.808578,2.903909,3.288997,2.424471,2.705794,3.034247,2.819773,2.882625,4.426825,5.793366,3.697391
_30_mean_prediction_depth,24.111516,21.419819,21.281851,20.678010,20.541823,20.181718,21.524860,19.780903,24.844726,25.576440,22.400521
_30_mean_target_depth,19.671795,19.240107,18.559134,19.145509,19.099519,18.038131,19.296469,18.391897,20.782742,20.286233,19.436216
_30_median_diff,4.370876,2.209859,2.354293,1.549029,1.480724,1.717910,2.324392,1.242370,3.519608,4.688475,2.751307
_30_median_prediction_depth,24.308551,21.468310,20.582149,20.593331,20.480269,19.196843,21.657136,19.317806,24.638544,25.134302,22.181196
_30_median_target_depth,19.938976,19.271304,18.227856,19.066496,19.013470,17.592324,19.344817,18.127553,21.131470,20.487276,19.460123
_30_squ_rel_diff,0.147995,0.065750,0.099043,0.049269,0.060894,0.085336,0.055624,0.068007,0.132420,0.229407,0.108862
_30_threshold_delta_1.25,0.567891,0.796119,0.779712,0.843355,0.805790,0.782562,0.813703,0.774963,0.709670,0.569258,0.729807
_30_threshold_delta_1.25^2,0.883188,0.952015,0.950859,0.964101,0.941102,0.936371,0.960602,0.920847,0.915852,0.835431,0.918702
_30_threshold_delta_1.25^3,0.969522,0.983976,0.980883,0.990338,0.980411,0.975856,0.988912,0.971483,0.970420,0.938986,0.972584
_RMS_linear,8.614727,6.677715,8.069029,5.785955,6.172030,7.473501,6.575321,6.422633,8.858991,9.266631,7.489522
_RMS_log,0.239024,0.197313,0.229450,0.172566,0.189636,0.219150,0.177343,0.222218,0.211942,0.241493,0.209092
