METRIC,interlaken_00_c,interlaken_00_g,thun_00_a,zurich_city_00_a,zurich_city_01_f,MEAN
_10_RMS_linear,12.319707,6.615045,6.125866,6.438051,7.667406,7.574240
_10_RMS_log,1.482900,1.536252,1.399411,1.589771,1.649802,1.572531
_10_SILog,1.460816,0.962347,0.916136,0.893926,1.019036,1.023221
_10_abs_rel_diff,1.141551,0.634609,0.592898,0.628593,0.720149,0.719195
_10_mean_depth_error,10.269323,5.909010,5.426996,5.926749,6.767487,6.686094
_10_mean_prediction_depth,12.320053,5.221800,5.189424,4.273733,5.410110,5.915541
_10_mean_target_depth,9.192440,9.173239,9.304036,9.373724,8.985730,9.159101
_10_median_diff,6.655936,5.007048,4.689179,5.574791,5.841508,5.581423
_10_median_prediction_depth,10.521833,4.707320,4.647288,4.028740,4.657617,5.224351
_10_median_target_depth,9.264601,9.208254,9.336467,9.402579,9.019445,9.196601
_10_squ_rel_diff,2.520185,0.622849,0.565958,0.523047,0.923614,0.922247
_10_threshold_delta_1.25,0.104346,0.118167,0.124008,0.089656,0.101373,0.105356
_10_threshold_delta_1.25^2,0.205176,0.238756,0.280486,0.197715,0.194112,0.213476
_10_threshold_delta_1.25^3,0.302462,0.355302,0.424790,0.318140,0.280467,0.319728
_20_RMS_linear,11.350613,10.005391,8.626990,13.497497,12.570927,11.673125
_20_RMS_log,0.669066,0.616933,0.543709,0.688048,0.679267,0.654874
_20_SILog,0.367844,0.318384,0.246734,0.302314,0.334996,0.322823
_20_abs_rel_diff,0.639527,0.553547,0.474660,0.756887,0.703249,0.651723
_20_mean_depth_error,9.050505,8.399475,7.155030,11.708396,10.586566,9.827507
_20_mean_prediction_depth,22.182230,21.841169,20.789245,25.611567,24.188868,23.391551
_20_mean_target_depth,14.784610,15.023201,14.912170,14.895528,14.987556,14.951720
_20_median_diff,7.491737,7.512301,6.308289,11.941761,9.761232,9.113119
_20_median_prediction_depth,22.436781,22.683855,21.396590,26.999598,24.808717,24.188760
_20_median_target_depth,14.945044,15.225308,15.088301,15.057837,15.099963,15.109033
_20_squ_rel_diff,0.775149,0.458141,0.356264,0.776738,0.792013,0.668050
_20_threshold_delta_1.25,0.240587,0.222588,0.277096,0.116818,0.189824,0.194849
_20_threshold_delta_1.25^2,0.508535,0.503721,0.638581,0.308886,0.397316,0.435435
_20_threshold_delta_1.25^3,0.782185,0.829489,0.879828,0.692428,0.717200,0.760529
_30_RMS_linear,10.373033,10.597712,8.957011,15.029095,13.454520,12.359649
_30_RMS_log,0.527655,0.514057,0.464399,0.615032,0.577052,0.555030
_30_SILog,0.217986,0.195853,0.165049,0.189600,0.203619,0.198208
_30_abs_rel_diff,0.479915,0.480808,0.418584,0.708195,0.620794,0.571336
_30_mean_depth_error,8.241099,8.974502,7.485077,13.374012,11.621769,10.607386
_30_mean_prediction_depth,26.519324,27.492181,25.030586,31.979963,30.510285,29.191334
_30_mean_target_depth,19.465552,19.652575,18.841444,19.271343,19.769015,19.551266
_30_median_diff,7.576780,8.992505,7.221978,14.499261,11.651040,10.760444
_30_median_prediction_depth,27.140246,28.628819,25.701443,33.588888,31.454857,30.274658
_30_median_target_depth,19.563467,19.642089,18.479465,19.089626,19.827212,19.523847
_30_squ_rel_diff,0.481928,0.361175,0.293149,0.677875,0.614210,0.522147
_30_threshold_delta_1.25,0.378515,0.295851,0.354631,0.123022,0.220912,0.247860
_30_threshold_delta_1.25^2,0.662100,0.609663,0.711286,0.364971,0.471930,0.524400
_30_threshold_delta_1.25^3,0.872528,0.884632,0.911579,0.746977,0.799790,0.827775
_RMS_linear,11.949735,12.337217,11.155911,14.707612,13.294854,13.038818
_RMS_log,0.435349,0.422413,0.414659,0.442197,0.418171,0.426089
_SILog,0.187530,0.180541,0.172973,0.193828,0.179560,0.183327
_abs_rel_diff,0.345538,0.343217,0.335238,0.397256,0.359080,0.359451
_mean_depth_error,9.026761,9.716885,8.667768,12.097973,10.882348,10.463089
_mean_prediction_depth,32.027303,33.263757,29.029845,38.876692,37.743519,35.567072
_mean_target_depth,31.660223,32.963998,28.810197,38.656506,37.497530,35.298094
_median_diff,6.316600,5.824062,4.724746,4.701361,4.659707,5.200178
_median_prediction_depth,33.946843,34.933763,29.820148,40.561675,39.463462,37.240744
_median_target_depth,27.707147,29.341914,25.382367,36.665518,35.382135,32.491797
_squ_rel_diff,0.275844,0.210871,0.195712,0.286498,0.266018,0.251764
_threshold_delta_1.25,0.473147,0.423580,0.408235,0.369192,0.431987,0.420357
_threshold_delta_1.25^2,0.764547,0.744642,0.777302,0.680216,0.745567,0.735864
_threshold_delta_1.25^3,0.923601,0.933176,0.935555,0.900928,0.922282,0.921929
