METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,4.306484,3.558110,5.991538,8.756463,10.225751,9.916441,4.025625,7.569646,20.836348,26.931942,11.990397
_10_RMS_log,0.500697,0.538815,0.594685,0.762840,0.803206,0.709536,0.650504,0.623417,1.196170,1.335078,0.839182
_10_SILog,0.088694,0.172771,0.134963,0.198164,0.162481,0.140859,0.141116,0.132532,0.083986,0.027315,0.121531
_10_abs_rel_diff,0.457686,0.369344,0.643835,0.900928,1.084453,1.037848,0.437225,0.787750,2.278043,2.963444,1.292583
_10_mean_depth_error,4.024900,3.273432,5.679636,8.025531,9.535225,9.146850,3.885856,6.956739,20.603235,26.649449,11.556510
_10_mean_prediction_depth,9.953500,8.243570,12.654602,14.599105,16.254140,16.683883,8.178767,14.413286,28.426252,35.367631,18.363102
_10_mean_target_depth,8.859910,8.714279,8.890532,8.931997,8.867524,8.661584,8.930393,8.899087,9.007158,8.923221,8.872899
_10_median_diff,3.782720,2.928599,5.171730,7.208049,8.822692,8.453093,3.775709,6.284897,20.350127,26.506594,11.133695
_10_median_prediction_depth,9.792379,8.080262,12.176684,13.813015,15.710080,16.228520,8.162754,13.985313,28.273476,35.293040,18.060865
_10_median_target_depth,8.921350,8.752251,8.935899,8.988252,8.975829,8.702194,8.995605,8.941796,9.068785,8.975834,8.932262
_10_squ_rel_diff,0.373881,0.244514,0.764175,1.518885,2.115039,1.986166,0.310916,1.076635,7.120633,10.333302,3.383075
_10_threshold_delta_1.25,0.310786,0.384335,0.278029,0.212228,0.197701,0.185023,0.317897,0.211675,0.051209,0.014891,0.193595
_10_threshold_delta_1.25^2,0.579099,0.628583,0.500407,0.398699,0.361336,0.353811,0.559950,0.438098,0.110195,0.032780,0.354525
_10_threshold_delta_1.25^3,0.789947,0.763420,0.668715,0.553206,0.484904,0.521424,0.714473,0.613139,0.179825,0.059169,0.480711
_20_RMS_linear,5.622800,4.797222,7.920035,9.314849,10.586859,10.379917,5.718361,8.961998,18.534704,22.681430,11.696112
_20_RMS_log,0.346930,0.328160,0.425914,0.493669,0.547709,0.543736,0.364666,0.478050,0.793681,0.925653,0.567419
_20_SILog,0.058684,0.086845,0.091979,0.113820,0.109638,0.109389,0.107600,0.096525,0.089668,0.070497,0.092531
_20_abs_rel_diff,0.345381,0.279029,0.476566,0.562569,0.668355,0.697010,0.315182,0.561618,1.210464,1.565875,0.758473
_20_mean_depth_error,4.853172,3.952608,6.692972,7.824431,9.144795,8.969582,4.566772,7.609020,17.567704,21.784789,10.563272
_20_mean_prediction_depth,18.494863,17.389173,20.776257,21.903324,23.178118,22.581434,17.878981,21.292612,32.551803,36.844502,24.654115
_20_mean_target_depth,14.503031,14.622545,14.664692,14.948096,14.653068,14.173260,14.663320,14.395001,15.423052,15.175534,14.785854
_20_median_diff,4.008822,3.251901,6.137425,6.113622,7.608083,7.823519,2.969101,6.092420,16.511501,21.190796,9.423290
_20_median_prediction_depth,18.676787,17.831328,21.039135,21.414379,22.549123,22.025961,17.641747,20.665230,32.162545,36.531217,24.370710
_20_median_target_depth,14.787682,14.880666,14.901710,15.431854,14.997750,14.221130,14.981158,14.609792,15.812607,15.372484,15.070530
_20_squ_rel_diff,0.215357,0.148379,0.422003,0.609046,0.810714,0.937361,0.201435,0.558965,2.087680,3.269646,1.157731
_20_threshold_delta_1.25,0.456345,0.560723,0.362666,0.327701,0.257305,0.283788,0.534759,0.292055,0.086841,0.035971,0.292338
_20_threshold_delta_1.25^2,0.792266,0.848334,0.676663,0.603388,0.529451,0.536613,0.798323,0.606369,0.207436,0.103551,0.520744
_20_threshold_delta_1.25^3,0.940672,0.952092,0.870798,0.806841,0.752359,0.736411,0.918527,0.809607,0.399138,0.241840,0.689992
_30_RMS_linear,6.675466,5.640143,7.856363,8.785871,10.005984,10.276347,6.868992,9.008539,16.469170,18.938364,10.987778
_30_RMS_log,0.308330,0.290356,0.372700,0.414235,0.459086,0.480320,0.323563,0.422076,0.622371,0.718306,0.470031
_30_SILog,0.054325,0.068767,0.089286,0.097661,0.099971,0.113206,0.081020,0.097204,0.096358,0.100731,0.090870
