METRIC,interlaken_00_c,interlaken_00_g,thun_00_a,zurich_city_00_a,zurich_city_01_f,MEAN
_10_RMS_linear,10.106342,6.448237,7.531841,6.851872,12.037834,8.913395
_10_RMS_log,1.273396,1.821812,1.846292,1.705377,1.251435,1.541610
_10_SILog,1.043770,0.924766,1.035333,0.921543,0.534507,0.810775
_10_abs_rel_diff,0.945524,0.651611,0.750927,0.685308,1.269496,0.908020
_10_mean_depth_error,8.536573,6.239063,7.044422,6.530234,11.362552,8.350450
_10_mean_prediction_depth,11.905269,3.534841,4.954495,4.617169,15.027906,8.711703
_10_mean_target_depth,8.829714,7.918769,9.392044,8.118049,8.284465,8.265392
_10_median_diff,6.658511,6.185226,6.676053,6.305089,10.971480,7.919076
_10_median_prediction_depth,11.330866,3.430561,4.513270,4.366465,15.083874,8.560300
_10_median_target_depth,8.864731,7.951665,9.436150,8.153229,8.344722,8.308889
_10_squ_rel_diff,1.631033,0.611983,0.812877,0.717692,3.026026,1.583844
_10_threshold_delta_1.25,0.128172,0.046205,0.089014,0.058179,0.085204,0.073633
_10_threshold_delta_1.25^2,0.256822,0.099763,0.173553,0.121446,0.174506,0.151643
_10_threshold_delta_1.25^3,0.381144,0.167676,0.254877,0.187876,0.261335,0.232932
_20_RMS_linear,10.094897,7.074068,7.505414,10.115640,13.499934,10.252128
_20_RMS_log,0.657506,0.589485,0.543639,0.655664,0.724074,0.654274
_20_SILog,0.381755,0.329304,0.261842,0.338648,0.256583,0.309059
_20_abs_rel_diff,0.584062,0.398388,0.423728,0.576515,0.867203,0.617014
_20_mean_depth_error,8.216388,6.056233,6.290974,8.757039,12.134263,8.936643
_20_mean_prediction_depth,21.105309,19.278486,19.873119,22.253072,25.681163,22.304876
_20_mean_target_depth,14.842038,15.273519,14.988688,15.131656,14.888855,15.049001
_20_median_diff,6.820939,5.263500,6.116673,8.277537,11.335027,8.167235
_20_median_prediction_depth,21.811614,20.564096,21.255284,23.527081,26.265870,23.287275
_20_median_target_depth,14.992388,15.416822,15.138611,15.249544,15.025301,15.185967
_20_squ_rel_diff,0.615409,0.232500,0.302787,0.511164,1.315760,0.705917
_20_threshold_delta_1.25,0.281367,0.311950,0.342256,0.208917,0.201799,0.251538
_20_threshold_delta_1.25^2,0.552365,0.719398,0.699188,0.533194,0.407609,0.555013
_20_threshold_delta_1.25^3,0.756630,0.897331,0.892895,0.794669,0.606936,0.761067
_30_RMS_linear,9.823513,8.181054,7.856292,12.058205,13.522608,10.960775
_30_RMS_log,0.523547,0.475189,0.456491,0.565666,0.594560,0.538850
_30_SILog,0.224288,0.192442,0.169952,0.207312,0.174311,0.191828
_30_abs_rel_diff,0.471526,0.375217,0.377018,0.562392,0.694138,0.533070
_30_mean_depth_error,8.216986,7.214752,6.695716,10.707940,12.006465,9.644993
_30_mean_prediction_depth,26.354119,25.836805,24.545938,29.276596,30.826244,28.227445
_30_mean_target_depth,19.517893,19.875487,18.919016,19.488524,19.688095,19.642299
_30_median_diff,8.409055,7.467816,7.668072,11.576450,11.991385,9.961777
_30_median_prediction_depth,28.024764,27.289363,26.224248,30.854433,31.749755,29.562306
_30_median_target_depth,19.616591,19.822850,18.556176,19.277983,19.761942,19.602223
_30_squ_rel_diff,0.409491,0.198954,0.242049,0.451453,0.867821,0.504586
_30_threshold_delta_1.25,0.332776,0.319045,0.390916,0.165408,0.217052,0.258417
_30_threshold_delta_1.25^2,0.683029,0.784007,0.772715,0.560396,0.509133,0.632716
_30_threshold_delta_1.25^3,0.862255,0.944707,0.930297,0.853791,0.754369,0.851135
_RMS_linear,11.877979,10.245048,10.647995,12.397478,13.835274,12.114681
_RMS_log,0.435322,0.383250,0.411701,0.399908,0.435509,0.411933
_SILog,0.188498,0.147983,0.170091,0.161074,0.195073,0.172514
_abs_rel_diff,0.346606,0.280335,0.311356,0.328347,0.396367,0.338876
_mean_depth_error,9.144121,8.165019,8.097758,10.193009,11.320535,9.761276
_mean_prediction_depth,32.120171,33.772524,29.207108,39.381157,37.616440,35.793161
_mean_target_depth,31.728095,33.227910,28.901723,38.936320,37.402913,35.411552
_median_diff,6.891780,5.962083,5.557871,5.133281,4.780966,5.478753
_median_prediction_depth,34.360617,35.502174,31.052823,41.646560,39.269188,37.670723
_median_target_depth,27.795388,29.614508,25.524411,37.109829,35.330643,32.660823
_squ_rel_diff,0.244599,0.124766,0.170358,0.198253,0.370797,0.239702
_threshold_delta_1.25,0.449501,0.473786,0.458731,0.447658,0.422245,0.447339
_threshold_delta_1.25^2,0.767790,0.857553,0.800112,0.797401,0.733431,0.789704
_threshold_delta_1.25^3,0.912400,0.966024,0.937216,0.936517,0.890264,0.926533
