METRIC,interlaken_00_c,interlaken_00_g,thun_00_a,zurich_city_00_a,zurich_city_01_f,MEAN
_10_RMS_linear,7.715959,4.705869,8.378773,5.807927,8.357871,6.711550
_10_RMS_log,0.599928,0.427888,0.618872,0.543423,0.647122,0.555795
_10_SILog,0.051126,0.125842,0.095157,0.228728,0.112604,0.131980
_10_abs_rel_diff,0.837204,0.439343,0.827281,0.560582,0.879228,0.679881
_10_mean_depth_error,7.174910,3.794865,7.259614,4.753581,7.544457,5.836864
_10_mean_prediction_depth,15.541010,11.002972,15.603935,11.910826,15.483730,13.476497
_10_mean_target_depth,8.696510,8.524884,8.872338,8.699726,8.554725,8.608383
_10_median_diff,6.796325,2.730232,5.930717,3.684835,6.695419,4.910794
_10_median_prediction_depth,15.273616,10.694152,14.642161,11.762696,15.049167,13.128669
_10_median_target_depth,8.691980,8.522732,8.929852,8.707918,8.551292,8.610695
_10_squ_rel_diff,1.092290,0.404340,1.081884,0.737484,1.260497,0.878217
_10_threshold_delta_1.25,0.180638,0.382600,0.179939,0.329199,0.178301,0.268322
_10_threshold_delta_1.25^2,0.392608,0.662446,0.393449,0.623675,0.378627,0.512774
_10_threshold_delta_1.25^3,0.631932,0.831845,0.619591,0.808268,0.582576,0.708061
_20_RMS_linear,6.172476,5.022093,7.418532,5.774203,7.260072,6.193713
_20_RMS_log,0.401490,0.343029,0.440073,0.452645,0.483829,0.425010
_20_SILog,0.083209,0.108777,0.116142,0.195384,0.134550,0.132554
_20_abs_rel_diff,0.433910,0.304923,0.471585,0.405215,0.530710,0.425714
_20_mean_depth_error,5.144152,3.783247,5.735493,4.492905,6.028285,4.950189
_20_mean_prediction_depth,17.787219,15.423396,18.374209,14.776577,17.443320,16.406052
_20_mean_target_depth,13.510488,13.472990,13.848699,12.354812,12.769436,13.030088
_20_median_diff,3.884071,1.891307,3.711901,2.779276,4.446626,3.266643
_20_median_prediction_depth,17.119828,14.960915,17.349221,14.652627,16.770713,15.888031
_20_median_target_depth,13.353236,13.257535,13.771553,11.922374,12.410845,12.735719
_20_squ_rel_diff,0.368695,0.206350,0.480241,0.389025,0.545328,0.391804
_20_threshold_delta_1.25,0.417704,0.540760,0.389489,0.430119,0.355746,0.433228
_20_threshold_delta_1.25^2,0.720987,0.814718,0.699253,0.734823,0.621807,0.715992
_20_threshold_delta_1.25^3,0.884175,0.933950,0.865544,0.890773,0.812647,0.874585
_30_RMS_linear,5.913334,4.715190,6.463509,5.582703,6.782243,5.824207
_30_RMS_log,0.341577,0.293746,0.355611,0.416442,0.430876,0.374088
_30_SILog,0.094240,0.089922,0.110279,0.180554,0.149448,0.130145
_30_abs_rel_diff,0.326557,0.237675,0.330236,0.339572,0.427204,0.337976
_30_mean_depth_error,4.790668,3.484776,4.886601,4.287419,5.505867,4.559619
_30_mean_prediction_depth,20.475253,18.608861,20.939571,16.542076,18.904849,18.626562
_30_mean_target_depth,17.836358,17.526204,18.557656,15.229212,15.972318,16.619846
_30_median_diff,2.590855,1.624293,2.458269,2.511390,3.505145,2.599901
_30_median_prediction_depth,19.715324,18.161801,20.098199,16.258437,18.139043,18.047557
_30_median_target_depth,17.527745,16.793857,18.122054,13.878659,14.775397,15.668262
_30_squ_rel_diff,0.230961,0.140979,0.285024,0.284383,0.392505,0.273596
_30_threshold_delta_1.25,0.523944,0.652024,0.552214,0.502394,0.435619,0.527956
_30_threshold_delta_1.25^2,0.817250,0.871183,0.821014,0.782187,0.710601,0.789597
_30_threshold_delta_1.25^3,0.931860,0.956188,0.924993,0.911774,0.864364,0.911478
_RMS_linear,7.767288,4.905726,6.610534,5.841745,8.497970,6.738670
_RMS_log,0.327553,0.258666,0.303177,0.378227,0.415086,0.346487
_SILog,0.111776,0.072607,0.095604,0.153067,0.180794,0.131509
_abs_rel_diff,0.274504,0.193950,0.249263,0.285644,0.375018,0.286412
_mean_depth_error,5.708146,3.601245,5.022331,4.420564,6.512542,5.076472
_mean_prediction_depth,25.810357,25.218519,28.025839,21.532640,22.092343,23.619052
_mean_target_depth,25.823448,25.218588,28.028030,21.518008,22.087877,23.616212
_median_diff,1.901739,1.519929,1.958128,2.073270,2.428153,2.008388
_median_prediction_depth,22.790859,22.730224,25.281096,18.723166,20.197740,21.192745
_median_target_depth,22.548515,21.722455,25.148074,17.097334,18.227385,19.865688
_squ_rel_diff,0.167543,0.102583,0.179989,0.211327,0.310766,0.207067
_threshold_delta_1.25,0.570004,0.719947,0.644636,0.569671,0.464340,0.581128
_threshold_delta_1.25^2,0.836036,0.904437,0.872817,0.817496,0.727167,0.816865
_threshold_delta_1.25^3,0.940333,0.968929,0.951785,0.929652,0.873176,0.924153
