METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.805243,3.133294,2.534321,4.385893,4.246680,6.833100,3.372101,3.635779,16.934184,26.741677,9.520708
_10_RMS_log,0.492569,0.493093,0.275843,0.533671,0.515971,0.563429,0.527500,0.408902,1.161629,1.347048,0.726090
_10_SILog,0.085233,0.113905,0.028422,0.156430,0.139213,0.146007,0.083339,0.084474,0.180292,0.040681,0.111835
_10_abs_rel_diff,0.408527,0.331383,0.248854,0.445670,0.434958,0.714976,0.369455,0.372203,1.843434,2.937484,1.027782
_10_mean_depth_error,3.586317,2.925475,2.192714,3.984155,3.823310,6.303304,3.268153,3.307105,16.699545,26.427747,9.209993
_10_mean_prediction_depth,9.156233,7.818877,9.286226,9.767882,9.581100,13.776432,7.945016,10.385962,22.999905,34.907681,15.559121
_10_mean_target_depth,8.858931,8.710038,8.864047,8.912013,8.862074,8.661603,8.910465,8.904176,8.869056,8.922049,8.850562
_10_median_diff,3.437011,2.677633,1.931488,3.622789,3.437381,5.901034,3.189897,2.960770,16.424917,26.266076,8.949372
_10_median_prediction_depth,9.109938,7.748350,9.085222,9.432555,9.353135,13.705194,7.969877,10.163824,22.822174,34.807215,15.422227
_10_median_target_depth,8.920306,8.747324,8.907899,8.968216,8.971128,8.701268,8.978988,8.946280,8.926486,8.974763,8.909631
_10_squ_rel_diff,0.274511,0.181851,0.141434,0.400247,0.393584,1.063865,0.210237,0.240527,5.459369,10.339465,2.673534
_10_threshold_delta_1.25,0.319266,0.395616,0.612634,0.353659,0.357529,0.256370,0.357209,0.400853,0.094185,0.020642,0.264635
_10_threshold_delta_1.25^2,0.606601,0.647386,0.878668,0.614527,0.635160,0.502519,0.610760,0.725928,0.175040,0.038677,0.468479
_10_threshold_delta_1.25^3,0.811947,0.795206,0.954434,0.778607,0.791345,0.676124,0.770267,0.870545,0.257603,0.066728,0.599934
_20_RMS_linear,4.963408,3.956687,4.440818,5.416988,5.628192,7.514207,4.370150,5.746933,16.462497,22.449725,9.546542
_20_RMS_log,0.324132,0.285285,0.249861,0.331648,0.342546,0.425829,0.301928,0.336569,0.737096,0.916695,0.480027
_20_SILog,0.058238,0.066303,0.037096,0.085606,0.083788,0.090029,0.073637,0.073636,0.122740,0.075357,0.081219
_20_abs_rel_diff,0.303329,0.228665,0.242344,0.311046,0.321254,0.492294,0.244780,0.333212,1.045338,1.543399,0.610381
_20_mean_depth_error,4.272188,3.237245,3.494641,4.427715,4.531800,6.416811,3.480205,4.691900,15.387637,21.492678,8.592272
_20_mean_prediction_depth,17.820611,16.685743,17.504563,18.257823,18.219474,19.950793,16.837730,18.103225,29.917687,36.527683,22.526923
_20_mean_target_depth,14.501821,14.619246,14.649698,14.941135,14.648044,14.174011,14.649310,14.400320,15.454893,15.176939,14.786702
_20_median_diff,3.460948,2.500521,2.847411,3.299265,3.357393,5.383329,2.352149,3.186128,14.176852,20.905817,7.606733
_20_median_prediction_depth,18.095096,17.033385,17.653669,18.512064,18.232993,19.585666,16.963714,17.705611,29.624126,36.246550,22.493200
_20_median_target_depth,14.786923,14.877025,14.891701,15.426086,14.992246,14.223205,14.973054,14.613079,15.829488,15.372980,15.070273
_20_squ_rel_diff,0.162869,0.096409,0.118973,0.200028,0.212503,0.523429,0.118705,0.191231,1.705500,3.227950,0.899291
_20_threshold_delta_1.25,0.505108,0.635491,0.641018,0.531313,0.517345,0.396087,0.624264,0.448322,0.159385,0.050868,0.404278
_20_threshold_delta_1.25^2,0.836250,0.899791,0.910202,0.829022,0.829656,0.692753,0.866641,0.822558,0.298861,0.121010,0.644990
_20_threshold_delta_1.25^3,0.956378,0.970686,0.978117,0.939080,0.935367,0.851237,0.958093,0.949214,0.481600,0.251201,0.767415
_30_RMS_linear,6.138884,4.993435,5.444342,6.167637,6.502541,8.125086,5.492953,6.647641,15.439704,18.826322,9.472753
_30_RMS_log,0.290006,0.256082,0.247131,0.302579,0.309532,0.388230,0.269034,0.315717,0.590089,0.712119,0.406095
_30_SILog,0.054062,0.054868,0.038232,0.072759,0.070490,0.090344,0.057787,0.069712,0.106655,0.101877,0.077398
_30_abs_rel_diff,0.272540,0.212002,0.233285,0.276609,0.286367,0.415631,0.224629,0.305619,0.746373,1.032396,0.464278
_30_mean_depth_error,5.114137,3.929855,4.163936,4.911020,5.141739,6.602534,4.151237,5.328602,13.833898,17.311090,8.120765
_30_mean_prediction_depth,23.707814,22.093798,21.794824,22.748555,23.150533,23.646856,22.548220,22.389921,34.165265,37.420522,26.691038
_30_mean_target_depth,19.682781,19.252223,18.569294,19.155925,19.108840,18.051597,19.307929,18.396011,20.827966,20.297944,19.451153
_30_median_diff,3.895245,2.857074,3.287681,3.707853,4.050659,5.163301,3.432328,3.698760,12.986563,16.531027,7.060497
_30_median_prediction_depth,23.822232,22.096347,21.512798,22.708297,23.059090,22.766909,22.770591,21.822612,34.133944,37.012857,26.508984
_30_median_target_depth,19.952623,19.282490,18.247295,19.074822,19.020571,17.611584,19.355122,18.132538,21.168080,20.500868,19.474735
_30_squ_rel_diff,0.126430,0.081715,0.105862,0.152609,0.161017,0.383422,0.100252,0.160083,0.938585,1.763473,0.526838
_30_threshold_delta_1.25,0.531995,0.670710,0.642706,0.563406,0.547627,0.448202,0.670329,0.481386,0.186623,0.118331,0.444383
_30_threshold_delta_1.25^2,0.894715,0.928962,0.922247,0.872970,0.874534,0.756583,0.905070,0.853801,0.460530,0.334255,0.731898
_30_threshold_delta_1.25^3,0.974713,0.981921,0.983174,0.961886,0.960508,0.895395,0.972972,0.964110,0.721702,0.581890,0.867159
_RMS_linear,9.307627,8.316515,8.959504,9.486668,9.903977,11.524823,8.951625,9.913859,15.241660,16.831942,11.499508
_RMS_log,0.266444,0.253326,0.273629,0.305639,0.304195,0.378461,0.253165,0.310699,0.421175,0.483316,0.342194
_SILog,0.074330,0.068361,0.078706,0.099547,0.095944,0.151130,0.068212,0.099872,0.178095,0.230168,0.126817
_abs_rel_diff,0.218571,0.191396,0.219550,0.249037,0.244841,0.333051,0.192467,0.265094,0.395724,0.490238,0.301473
_mean_depth_error,7.124793,5.952546,6.156231,6.907952,7.236671,8.589765,6.368476,7.448642,12.439898,13.991111,8.865614
_mean_prediction_depth,35.547954,32.339706,28.287172,29.858022,32.378763,30.019113,34.951301,30.719884,40.338465,40.081124,34.487027
_mean_target_depth,35.640406,32.410753,28.321532,29.852936,32.414999,30.009889,35.077013,30.749540,40.313907,40.075941,34.517046
_median_diff,2.480738,2.406148,2.550439,2.866066,2.639476,3.512251,2.903525,2.848115,3.962962,3.994688,3.143292
_median_prediction_depth,34.440981,30.665082,26.505176,28.461689,30.747869,28.705492,33.762851,28.788719,41.349855,40.351182,33.627931
_median_target_depth,32.764943,28.662577,24.590338,25.913646,28.618612,25.844313,31.296975,26.453253,38.298874,38.728719,31.362216
_squ_rel_diff,0.081920,0.065506,0.089781,0.118027,0.114723,0.243098,0.071956,0.121226,0.351840,0.606606,0.227089
_threshold_delta_1.25,0.606461,0.686070,0.633086,0.569439,0.582367,0.486200,0.698793,0.517706,0.407248,0.368546,0.535232
_threshold_delta_1.25^2,0.920423,0.928021,0.906240,0.869275,0.880462,0.779691,0.922595,0.864109,0.722064,0.663599,0.825592
_threshold_delta_1.25^3,0.981576,0.982287,0.969610,0.959876,0.960062,0.908050,0.979677,0.964322,0.893107,0.847915,0.934438
