METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,4.487055,3.753780,7.005316,8.877392,10.235429,10.332935,4.009925,8.217940,23.194308,27.657546,12.540045
_10_RMS_log,0.566669,0.590243,0.669906,0.749929,0.778386,0.729237,0.685471,0.651319,1.242608,1.363675,0.865200
_10_SILog,0.134137,0.224775,0.153904,0.183619,0.159664,0.143469,0.162126,0.107706,0.060398,0.035079,0.128888
_10_abs_rel_diff,0.473234,0.385882,0.764504,0.915321,1.082456,1.081564,0.433037,0.851881,2.543360,3.032735,1.350137
_10_mean_depth_error,4.166410,3.427468,6.724994,8.155133,9.519239,9.531966,3.849962,7.521625,22.966189,27.277044,12.071032
_10_mean_prediction_depth,9.448711,7.893743,13.352379,14.838660,16.577373,17.004421,7.696708,15.017356,31.295211,36.050125,18.828610
_10_mean_target_depth,8.865950,8.724090,8.883131,8.909773,8.862384,8.660418,8.933828,8.899957,9.029806,8.955878,8.879460
_10_median_diff,3.812651,3.028634,6.522939,7.348477,8.837614,8.876247,3.745220,6.900755,22.766554,27.154479,11.658642
_10_median_prediction_depth,9.171951,7.650826,13.161889,14.121308,16.085923,16.584362,7.662102,14.536953,31.212799,35.999281,18.537404
_10_median_target_depth,8.928511,8.762758,8.931196,8.966143,8.971657,8.700521,8.999996,8.942434,9.090855,9.008051,8.939062
_10_squ_rel_diff,0.390156,0.284308,1.055334,1.534710,2.111806,2.117883,0.302586,1.293121,8.345091,10.737379,3.633046
_10_threshold_delta_1.25,0.280523,0.375350,0.237558,0.203155,0.193701,0.184059,0.311723,0.179973,0.045298,0.011468,0.183619
_10_threshold_delta_1.25^2,0.550473,0.605259,0.407964,0.395593,0.360105,0.349279,0.541501,0.402502,0.089046,0.029157,0.339876
_10_threshold_delta_1.25^3,0.752406,0.733149,0.584571,0.535112,0.499831,0.491696,0.705896,0.586593,0.142110,0.052988,0.461059
