METRIC,interlaken_00_c,interlaken_00_g,thun_00_a,zurich_city_00_a,zurich_city_01_f,MEAN
_10_RMS_linear,5.144551,4.142591,5.770897,4.985042,6.070075,5.170051
_10_RMS_log,0.422981,0.381706,0.478015,0.471718,0.487429,0.445732
_10_SILog,0.048687,0.087853,0.123394,0.186683,0.095311,0.107752
_10_abs_rel_diff,0.506289,0.391742,0.521825,0.456638,0.589195,0.492137
_10_mean_depth_error,4.339151,3.383264,4.575694,3.862521,5.052510,4.221235
_10_mean_prediction_depth,12.642042,10.912255,12.474309,10.960855,12.896000,11.878684
_10_mean_target_depth,8.696020,8.524810,8.872320,8.698841,8.554089,8.607907
_10_median_diff,3.785093,2.620035,3.189411,2.558610,3.991978,3.239147
_10_median_prediction_depth,12.241313,10.764492,11.598019,10.619042,12.271480,11.462307
_10_median_target_depth,8.691656,8.522694,8.929852,8.705924,8.550266,8.609892
_10_squ_rel_diff,0.474583,0.309871,0.509963,0.587640,0.730887,0.539038
_10_threshold_delta_1.25,0.313286,0.417570,0.270512,0.429563,0.320589,0.367310
_10_threshold_delta_1.25^2,0.652721,0.704478,0.635064,0.729936,0.603652,0.665742
_10_threshold_delta_1.25^3,0.872682,0.876028,0.854252,0.853070,0.785346,0.838985
_20_RMS_linear,5.288400,4.418974,6.157563,4.986341,5.888902,5.225105
_20_RMS_log,0.325257,0.308862,0.377483,0.391903,0.390882,0.359089
_20_SILog,0.080251,0.086504,0.124858,0.157285,0.117950,0.112836
_20_abs_rel_diff,0.316803,0.266735,0.359717,0.329333,0.379918,0.328581
_20_mean_depth_error,3.917812,3.313891,4.407700,3.667316,4.517671,3.921921
_20_mean_prediction_depth,16.233597,15.146168,16.570678,13.947986,15.593646,15.254751
_20_mean_target_depth,13.510184,13.472844,13.848582,12.353197,12.768141,13.029236
_20_median_diff,2.015359,1.717598,2.250677,1.778572,2.441204,2.038337
_20_median_prediction_depth,15.217266,14.751014,15.827236,13.596616,14.683213,14.603037
_20_median_target_depth,13.353070,13.257512,13.771589,11.920642,12.408808,12.734650
_20_squ_rel_diff,0.225743,0.157421,0.332731,0.297887,0.324422,0.259765
_20_threshold_delta_1.25,0.541614,0.589387,0.506354,0.531462,0.476041,0.529214
_20_threshold_delta_1.25^2,0.831148,0.855758,0.804683,0.806586,0.755573,0.806178
_20_threshold_delta_1.25^3,0.942383,0.957843,0.914236,0.914509,0.901161,0.925704
_30_RMS_linear,5.366726,4.239080,5.497042,4.829313,5.605025,5.019660
_30_RMS_log,0.287775,0.266485,0.311951,0.359127,0.353301,0.319669
_30_SILog,0.079285,0.073045,0.097988,0.137606,0.119679,0.104043
_30_abs_rel_diff,0.258870,0.210139,0.262643,0.274663,0.311430,0.266087
_30_mean_depth_error,3.984205,3.124652,3.910209,3.473630,4.239682,3.715352
_30_mean_prediction_depth,19.458779,18.413615,20.102829,16.107624,17.543258,17.857318
_30_mean_target_depth,17.835867,17.525791,18.557453,15.226112,15.969788,16.618169
_30_median_diff,1.418790,1.302291,1.892117,1.841308,1.995659,1.691722
_30_median_prediction_depth,18.434883,17.792444,19.803454,15.559818,16.524268,17.085470
_30_median_target_depth,17.527350,16.793355,18.121876,13.875252,14.774725,15.667141
_30_squ_rel_diff,0.161344,0.108566,0.206852,0.216048,0.233997,0.184286
_30_threshold_delta_1.25,0.611676,0.687755,0.644495,0.604635,0.545386,0.611349
_30_threshold_delta_1.25^2,0.876469,0.899384,0.875680,0.842334,0.814328,0.854961
_30_threshold_delta_1.25^3,0.961522,0.971531,0.949289,0.931736,0.927367,0.946106
_RMS_linear,6.204656,4.434662,5.319025,4.847609,6.311423,5.408419
_RMS_log,0.264083,0.234872,0.259609,0.323106,0.329488,0.289667
_SILog,0.075301,0.059051,0.071957,0.111789,0.116419,0.091843
_abs_rel_diff,0.218638,0.171902,0.193222,0.228373,0.272776,0.224234
_mean_depth_error,4.479644,3.240205,3.803236,3.477875,4.704109,3.959679
_mean_prediction_depth,25.804796,25.208130,28.020868,21.521158,22.072436,23.606041
_mean_target_depth,25.816984,25.210468,28.023576,21.515189,22.075245,23.608015
_median_diff,1.722502,1.189187,1.522742,1.704082,1.802461,1.581625
_median_prediction_depth,23.031223,22.330705,25.903087,18.328446,19.418750,20.791942
_median_target_depth,22.546724,21.718736,25.146412,17.086373,18.206588,19.855015
_squ_rel_diff,0.122297,0.079146,0.128038,0.158698,0.187986,0.139883
_threshold_delta_1.25,0.663511,0.750545,0.745399,0.672815,0.591775,0.670343
_threshold_delta_1.25^2,0.898049,0.925803,0.918974,0.873171,0.839878,0.882290
_threshold_delta_1.25^3,0.969390,0.979852,0.968327,0.946892,0.938429,0.957248
