METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,6.419572,5.874458,7.803052,7.168861,7.156500,9.161986,5.368499,7.190961,11.373716,22.605325,10.099944
_10_RMS_log,1.790298,1.770401,2.180125,1.661498,1.591232,1.357904,1.596314,1.678877,1.078077,1.242828,1.508179
_10_SILog,0.922072,0.819947,1.289352,1.063609,1.046001,0.848277,0.804204,1.006681,0.339298,0.101744,0.727937
_10_abs_rel_diff,0.638780,0.590309,0.781845,0.716378,0.717583,0.931963,0.539303,0.708838,1.207257,2.469903,1.054931
_10_mean_depth_error,6.085833,5.670279,7.473839,6.683478,6.654443,8.424794,5.188056,6.625255,11.035283,22.247030,9.695990
_10_mean_prediction_depth,3.598841,2.650235,3.443490,6.251669,6.551990,10.934678,1.997480,5.879100,14.039249,29.674349,10.527906
_10_mean_target_depth,8.231858,7.161363,9.489041,8.916609,8.553881,8.800659,6.583470,8.977315,6.766557,8.396137,8.060254
_10_median_diff,5.781743,5.605401,7.430470,6.252649,6.320173,7.963665,5.185314,6.108913,10.727157,22.044209,9.418538
_10_median_prediction_depth,3.372386,2.597171,3.059713,6.221327,6.675219,11.167496,1.778981,5.657260,13.902233,29.594033,10.463823
_10_median_target_depth,8.267072,7.188892,9.531230,8.972965,8.604831,8.851982,6.614689,9.016010,6.805559,8.441271,8.102856
_10_squ_rel_diff,0.572047,0.541414,0.719509,0.731760,0.795520,1.454681,0.477413,0.742103,3.323602,8.186041,2.315286
_10_threshold_delta_1.25,0.071826,0.046763,0.037455,0.094005,0.097806,0.104565,0.027904,0.100846,0.052273,0.026366,0.065222
_10_threshold_delta_1.25^2,0.143146,0.089863,0.086786,0.195577,0.198850,0.213597,0.059655,0.210133,0.106174,0.051032,0.132782
_10_threshold_delta_1.25^3,0.210535,0.135639,0.144920,0.299898,0.293878,0.320032,0.097670,0.309584,0.163066,0.084195,0.201585
_20_RMS_linear,8.108021,6.767248,6.492148,7.441238,8.052196,9.448501,7.483525,8.075209,14.908470,21.144482,10.941329
_20_RMS_log,0.631821,0.591320,0.537278,0.571422,0.598385,0.621657,0.643958,0.624456,0.752194,0.891787,0.672973
_20_SILog,0.370262,0.338267,0.267423,0.292283,0.325901,0.275741,0.404270,0.369060,0.249683,0.099529,0.284565
_20_abs_rel_diff,0.458059,0.377543,0.368842,0.423863,0.455120,0.605091,0.401718,0.464095,0.896095,1.441151,0.671833
_20_mean_depth_error,7.064348,5.765409,5.513088,6.374934,6.818573,8.183729,6.225980,6.784510,13.539790,20.200437,9.797515
_20_mean_prediction_depth,20.064856,18.947174,19.086822,20.011028,20.282188,21.309228,19.261526,19.482720,27.855480,35.087054,23.427962
_20_mean_target_depth,15.203971,15.315859,15.101606,15.407292,15.250522,14.451533,15.499188,14.881243,15.797006,15.232817,15.250495
_20_median_diff,5.988641,4.906965,5.166872,5.682980,5.927296,7.642576,4.758703,5.284636,12.368674,19.612442,8.886277
_20_median_prediction_depth,21.355728,20.220611,20.386563,21.413223,21.404047,22.111527,20.389987,20.293543,28.340397,34.987878,24.287800
_20_median_target_depth,15.382838,15.442664,15.219691,15.767322,15.479512,14.468951,15.653009,15.009578,16.102780,15.410493,15.443729
_20_squ_rel_diff,0.287310,0.212136,0.208563,0.285313,0.333147,0.676192,0.250880,0.337023,1.310504,2.871904,0.879775
_20_threshold_delta_1.25,0.233397,0.333881,0.360164,0.313155,0.285073,0.250627,0.329262,0.279667,0.171496,0.051554,0.236790
_20_threshold_delta_1.25^2,0.615035,0.746887,0.775562,0.705406,0.667605,0.573093,0.715596,0.635598,0.362337,0.140823,0.544354
_20_threshold_delta_1.25^3,0.887704,0.903403,0.917393,0.881826,0.869600,0.775323,0.859805,0.849885,0.561781,0.298050,0.732313
_30_RMS_linear,9.847218,8.056213,7.100544,7.899859,8.890325,9.644577,9.092236,8.796004,14.994383,18.301935,11.161600
_30_RMS_log,0.515089,0.476231,0.445234,0.465122,0.491108,0.530943,0.517223,0.524118,0.595701,0.700517,0.544567
_30_SILog,0.218126,0.196636,0.164883,0.180378,0.194284,0.200237,0.231499,0.242363,0.145238,0.105209,0.181090
_30_abs_rel_diff,0.439030,0.366263,0.340595,0.375073,0.415406,0.513757,0.400529,0.423559,0.701640,0.995058,0.547796
_30_mean_depth_error,8.762636,7.121083,6.179192,6.890643,7.787718,8.346648,7.953219,7.556469,13.489226,16.911842,9.962881
_30_mean_prediction_depth,27.478624,25.802882,24.100341,25.162080,26.294195,25.533204,26.760258,24.790092,33.991517,37.009850,28.793511
_30_mean_target_depth,20.322869,19.889726,18.990674,19.571693,19.669333,18.336761,20.080903,18.860788,21.083261,20.339847,19.870952
_30_median_diff,8.763026,7.544443,6.697013,7.292740,8.432397,8.638901,8.753866,7.408933,13.692505,16.273551,10.155189
_30_median_prediction_depth,29.274260,27.361107,25.279880,26.682117,27.923129,26.511037,28.750955,25.959444,35.042192,36.785585,29.975053
_30_median_target_depth,20.514187,19.817467,18.582867,19.389377,19.490732,17.872136,19.997088,18.550511,21.349688,20.533088,19.823782
