METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.604892,3.132521,2.019548,3.322356,3.747677,4.184685,3.396476,2.937032,8.149163,11.479872,5.381504
_10_RMS_log,0.432198,0.551232,0.281392,0.539428,0.690865,0.479999,0.591456,0.447106,0.921514,0.978382,0.655271
_10_SILog,0.057819,0.136668,0.044565,0.090799,0.171769,0.140333,0.123491,0.072117,0.176660,0.171102,0.131333
_10_abs_rel_diff,0.383527,0.333212,0.216872,0.360012,0.406384,0.428603,0.366038,0.311849,0.881765,1.241345,0.578031
_10_mean_depth_error,3.365486,2.939813,1.895066,3.188772,3.553923,3.767078,3.245417,2.737105,7.995591,11.207510,5.163396
_10_mean_prediction_depth,9.631803,7.092218,8.349430,6.843755,5.925989,9.757110,7.117154,7.229423,12.297446,16.695683,9.738211
_10_mean_target_depth,8.857521,8.719446,8.867775,8.917366,8.869750,8.665185,8.922648,8.899711,8.508361,8.460260,8.733919
_10_median_diff,3.176611,2.787035,1.839313,3.078582,3.332033,3.192388,3.115963,2.555468,7.812223,11.017465,4.951874
_10_median_prediction_depth,9.588580,7.039242,8.333781,6.838864,5.931171,9.492040,7.115396,7.163281,12.169940,16.673765,9.677702
_10_median_target_depth,8.918557,8.758344,8.910955,8.971641,8.974432,8.704012,8.989671,8.941288,8.557196,8.505744,8.789854
_10_squ_rel_diff,0.250259,0.193912,0.084590,0.200168,0.227234,0.477098,0.209630,0.157272,1.610868,2.971809,0.866847
_10_threshold_delta_1.25,0.363311,0.385723,0.613974,0.314612,0.234244,0.397188,0.354972,0.387231,0.156448,0.108496,0.285657
_10_threshold_delta_1.25^2,0.650201,0.636655,0.881150,0.575825,0.477792,0.642958,0.607060,0.676659,0.317501,0.223676,0.509242
_10_threshold_delta_1.25^3,0.853862,0.762696,0.938429,0.759952,0.663078,0.776157,0.740533,0.828601,0.454618,0.344911,0.659517
_20_RMS_linear,5.031790,3.558987,3.938894,3.530184,3.959280,5.564841,3.982436,3.836936,10.084893,13.369292,6.454162
_20_RMS_log,0.314007,0.278602,0.213312,0.260988,0.323918,0.341772,0.298371,0.270983,0.542060,0.652106,0.386499
_20_SILog,0.046883,0.079595,0.036127,0.067324,0.109297,0.085414,0.085481,0.070955,0.133682,0.123215,0.091831
_20_abs_rel_diff,0.305018,0.194267,0.176852,0.188340,0.209931,0.332538,0.218333,0.209202,0.603063,0.855129,0.384026
_20_mean_depth_error,4.315220,2.702905,2.609495,2.690530,2.915228,4.446306,3.077537,2.943040,8.903680,12.186231,5.456911
_20_mean_prediction_depth,18.092989,16.007070,16.779842,16.090891,15.682601,17.708287,16.324439,15.895198,22.945320,26.402922,18.986576
_20_mean_target_depth,14.501023,14.624697,14.650697,14.936666,14.652377,14.174845,14.656793,14.394401,15.480385,15.238291,14.800946
_20_median_diff,3.688660,1.804125,1.939642,1.515187,1.372832,3.406341,2.023230,1.597337,7.564776,11.222745,4.364706
_20_median_prediction_depth,18.371199,16.289989,16.818146,16.494303,15.913087,17.534809,16.619939,16.045824,22.772734,26.190590,19.082004
_20_median_target_depth,14.786459,14.881535,14.892011,15.424037,14.996811,14.222486,14.977767,14.608855,15.847399,15.421000,15.081281
_20_squ_rel_diff,0.157844,0.082978,0.074672,0.073850,0.089740,0.284672,0.097104,0.081510,0.718399,1.304000,0.393538
_20_threshold_delta_1.25,0.480730,0.727593,0.782125,0.715197,0.668497,0.564726,0.664006,0.654990,0.322145,0.191891,0.528699
_20_threshold_delta_1.25^2,0.856232,0.917641,0.954768,0.918138,0.888176,0.818172,0.898758,0.919551,0.580239,0.407710,0.770509
_20_threshold_delta_1.25^3,0.968507,0.963032,0.983027,0.969230,0.949633,0.912472,0.959989,0.970349,0.754105,0.632791,0.877637
_30_RMS_linear,6.177039,4.554776,5.144994,4.647150,5.148393,6.619315,5.123667,5.239852,11.127897,13.579569,7.422952
_30_RMS_log,0.282598,0.244977,0.216141,0.242963,0.286024,0.321630,0.263058,0.261107,0.452024,0.540813,0.337965
