METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,4.935863,3.073785,2.558908,7.464967,5.880375,8.259357,4.102579,5.619186,9.558222,18.497152,8.271494
_10_RMS_log,0.486637,0.454981,0.275987,0.689215,0.637554,0.673948,0.528154,0.527484,1.018297,1.187549,0.729329
_10_SILog,0.047915,0.087325,0.026462,0.117557,0.139267,0.124813,0.092425,0.075308,0.236592,0.162955,0.126074
_10_abs_rel_diff,0.538303,0.328275,0.264798,0.815470,0.637167,0.883858,0.440817,0.599538,1.034520,2.017666,0.896818
_10_mean_depth_error,4.734318,2.893311,2.340105,7.251164,5.615093,7.793339,3.898506,5.303198,9.357030,18.185107,8.009696
_10_mean_prediction_depth,11.795626,8.217858,9.984964,14.004533,11.936333,14.874421,9.436876,12.357264,13.176500,24.607442,14.151264
_10_mean_target_depth,8.858498,8.704686,8.865941,8.857008,8.875981,8.671267,8.908555,8.905136,7.929433,8.431135,8.651874
_10_median_diff,4.554517,2.776207,2.163649,7.087666,5.422158,7.300564,3.724092,4.992191,9.187254,17.901661,7.780145
_10_median_prediction_depth,11.764091,8.178900,9.935059,13.915739,11.918328,14.582859,9.422377,12.235320,13.038873,24.476784,14.053157
_10_median_target_depth,8.919516,8.742268,8.910330,8.912501,8.983282,8.712345,8.977962,8.947227,7.973164,8.476492,8.708035
_10_squ_rel_diff,0.516187,0.180084,0.143127,1.226850,0.773766,1.578807,0.369441,0.691804,2.321425,6.331980,1.893477
_10_threshold_delta_1.25,0.311337,0.402214,0.578469,0.230432,0.265559,0.219745,0.341671,0.308191,0.119801,0.057414,0.236959
_10_threshold_delta_1.25^2,0.552356,0.671274,0.840297,0.429538,0.502742,0.416614,0.605088,0.538653,0.232183,0.118912,0.426974
_10_threshold_delta_1.25^3,0.755930,0.819952,0.942388,0.576563,0.677298,0.585810,0.769537,0.730375,0.330961,0.177301,0.568406
_20_RMS_linear,6.670543,4.124187,4.923866,8.117887,7.950131,9.833703,5.496469,7.040781,11.828438,18.391327,9.543959
_20_RMS_log,0.381698,0.284882,0.265269,0.453052,0.446819,0.523377,0.340802,0.400877,0.632148,0.812399,0.500865
_20_SILog,0.041620,0.059254,0.031300,0.078349,0.088471,0.091693,0.061652,0.061305,0.173401,0.120942,0.090321
_20_abs_rel_diff,0.431513,0.242579,0.264405,0.516821,0.492421,0.666014,0.331408,0.448626,0.722620,1.223476,0.611686
_20_mean_depth_error,6.056941,3.470022,3.876471,7.276500,6.965948,8.761618,4.709975,6.163016,10.732280,17.320126,8.634325
_20_mean_prediction_depth,20.088025,17.088562,18.101629,21.495975,20.854950,22.378828,18.592530,19.880039,24.790081,31.908795,22.657479
_20_mean_target_depth,14.501670,14.616167,14.650237,14.948675,14.658009,14.179040,14.648580,14.398620,15.552501,15.232748,14.809783
_20_median_diff,5.596564,2.767275,3.082575,6.161203,5.938146,7.924223,3.995410,5.265062,9.464023,16.610347,7.773319
_20_median_prediction_depth,20.369533,17.370732,17.972671,21.500013,20.904552,22.126639,18.894500,19.811767,24.865294,31.863170,22.718609
_20_median_target_depth,14.786807,14.876021,14.892155,15.433218,15.000276,14.227025,14.972430,14.612350,15.902355,15.408777,15.086919
_20_squ_rel_diff,0.305353,0.102062,0.132641,0.469316,0.422788,0.845862,0.219899,0.361084,0.949309,2.277281,0.776334
_20_threshold_delta_1.25,0.362057,0.597671,0.607474,0.312586,0.319109,0.278971,0.511168,0.359607,0.246676,0.105840,0.326699
_20_threshold_delta_1.25^2,0.696072,0.906502,0.876006,0.626092,0.643619,0.543331,0.808633,0.703662,0.481081,0.229436,0.595943
_20_threshold_delta_1.25^3,0.914096,0.974421,0.978692,0.850735,0.866889,0.756239,0.933950,0.892638,0.676652,0.405354,0.778124
_30_RMS_linear,7.563477,5.269324,6.112579,8.129781,8.589863,9.806382,6.572315,7.690884,12.666833,16.831864,9.817835
_30_RMS_log,0.337099,0.261643,0.264882,0.393401,0.399852,0.463731,0.306223,0.364718,0.515163,0.652219,0.428769
_30_SILog,0.048888,0.053164,0.038360,0.087662,0.094107,0.101571,0.053548,0.062094,0.113885,0.112630,0.084219
_30_abs_rel_diff,0.362651,0.228388,0.256898,0.408878,0.417046,0.540369,0.297451,0.390275,0.583797,0.881808,0.487403
