METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.072080,2.295490,1.504979,2.524054,2.926284,2.543179,2.326996,2.281418,3.557934,3.633264,2.666568
_10_RMS_log,0.314390,0.313416,0.196577,0.338156,0.352767,0.303751,0.292163,0.298677,0.342711,0.425286,0.317789
_10_SILog,0.021202,0.035470,0.011253,0.039035,0.054470,0.070343,0.032587,0.031942,0.015893,0.048225,0.036042
_10_abs_rel_diff,0.320303,0.233290,0.160432,0.267565,0.294867,0.246708,0.240006,0.234689,0.376435,0.383174,0.275747
_10_mean_depth_error,2.816531,2.042756,1.400517,2.370405,2.577226,2.180861,2.108006,2.061527,3.389836,3.455821,2.440349
_10_mean_prediction_depth,10.042071,7.325470,8.110011,7.750909,7.609015,8.696310,8.084536,7.581901,10.906168,9.716162,8.582255
_10_mean_target_depth,8.852560,8.690634,8.863305,8.907220,8.849844,8.659664,8.896414,8.897105,9.042571,8.891690,8.855101
_10_median_diff,2.599219,1.849449,1.336838,2.143324,2.105253,1.705487,1.906544,1.830620,3.254338,3.309317,2.204039
_10_median_prediction_depth,9.913628,7.239276,8.090265,7.614300,7.315444,8.474704,7.964074,7.425362,10.842063,9.657385,8.453650
_10_median_target_depth,8.913706,8.728673,8.907484,8.962358,8.960744,8.699464,8.967758,8.938818,9.104050,8.944038,8.912709
_10_squ_rel_diff,0.193587,0.115351,0.048462,0.117893,0.169616,0.117502,0.147117,0.114543,0.293228,0.282490,0.159979
_10_threshold_delta_1.25,0.449171,0.534082,0.746316,0.457053,0.388446,0.524210,0.558215,0.528820,0.427282,0.376844,0.499044
_10_threshold_delta_1.25^2,0.792134,0.770814,0.902316,0.766126,0.755951,0.820115,0.828003,0.816170,0.723313,0.671413,0.784635
_10_threshold_delta_1.25^3,0.936833,0.875723,0.966314,0.906285,0.914498,0.909790,0.934402,0.923151,0.894043,0.833382,0.909442
_20_RMS_linear,4.378896,2.498412,2.204233,2.815087,3.136463,3.298413,2.689726,2.539584,4.600214,4.859382,3.302041
_20_RMS_log,0.257983,0.181328,0.132598,0.195476,0.208965,0.218571,0.176395,0.185411,0.253119,0.274954,0.208480
_20_SILog,0.024504,0.034605,0.016696,0.036127,0.043695,0.050519,0.031128,0.035761,0.025905,0.044204,0.034314
_20_abs_rel_diff,0.262268,0.130662,0.097102,0.148218,0.154710,0.174068,0.136423,0.134154,0.255043,0.260124,0.175277
_20_mean_depth_error,3.692652,1.783510,1.386688,2.068743,2.063920,2.333761,1.863073,1.803111,3.691277,3.781859,2.446859
_20_mean_prediction_depth,17.632077,15.015191,15.238461,15.537619,15.239208,15.364594,15.508987,14.641742,18.580987,17.866992,16.062586
_20_mean_target_depth,14.497313,14.605816,14.649349,14.931451,14.638708,14.168867,14.639890,14.392635,15.401633,15.173880,14.709954
_20_median_diff,3.095661,0.941565,0.713601,1.096406,0.887450,1.263222,1.158579,0.746512,3.108550,2.889548,1.590109
_20_median_prediction_depth,17.791101,15.268062,15.336627,15.882550,15.473974,15.143319,15.808414,14.738382,18.611352,17.621906,16.167569
_20_median_target_depth,14.783507,14.867239,14.891529,15.420910,14.986387,14.217692,14.967390,14.607372,15.790883,15.370823,14.990373
_20_squ_rel_diff,0.126322,0.046596,0.026436,0.051573,0.069530,0.075082,0.060497,0.046400,0.152961,0.160961,0.081636
_20_threshold_delta_1.25,0.565485,0.845243,0.929598,0.803466,0.796668,0.759554,0.848033,0.830134,0.634968,0.628504,0.764165
_20_threshold_delta_1.25^2,0.898107,0.959532,0.982409,0.948256,0.941647,0.936116,0.961461,0.956404,0.897441,0.875522,0.935689
_20_threshold_delta_1.25^3,0.983951,0.984034,0.993824,0.985747,0.981205,0.977537,0.986214,0.984553,0.969345,0.956938,0.980335
_30_RMS_linear,5.335066,3.162690,3.401660,3.681354,3.779142,4.627518,3.549626,3.434946,5.642398,6.389759,4.300416
_30_RMS_log,0.238236,0.161294,0.144858,0.183982,0.188251,0.218120,0.164197,0.177235,0.228813,0.256485,0.196147
_30_SILog,0.029813,0.028354,0.020649,0.033241,0.036174,0.049018,0.026860,0.034774,0.028187,0.043737,0.033081
_30_abs_rel_diff,0.233338,0.117951,0.107370,0.141115,0.139050,0.176079,0.124524,0.131677,0.211175,0.232656,0.161493
_30_mean_depth_error,4.345126,2.145888,2.026072,2.569449,2.449973,3.120172,2.257538,2.327550,4.051705,4.483265,2.977674
_30_mean_prediction_depth,23.157746,20.240873,19.674748,20.381416,20.245268,19.910930,20.714638,19.301575,24.383736,23.891728,21.190266
