METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.263424,3.002890,1.896339,2.671826,3.263753,3.227645,2.799082,2.745529,4.362303,4.194330,3.142712
_10_RMS_log,0.345829,0.487264,0.267892,0.352865,0.418270,0.389970,0.431140,0.376691,0.466628,0.583904,0.412045
_10_SILog,0.030080,0.087885,0.029785,0.042983,0.067155,0.122058,0.051369,0.051371,0.043680,0.108800,0.063517
_10_abs_rel_diff,0.340589,0.319369,0.203795,0.281438,0.333324,0.320038,0.301197,0.289070,0.468304,0.441071,0.329820
_10_mean_depth_error,2.995101,2.807345,1.779623,2.495137,2.913603,2.825974,2.652702,2.541497,4.219574,3.985262,2.921582
_10_mean_prediction_depth,9.877921,6.887526,7.516069,7.871784,7.644810,8.886417,7.131763,7.192731,10.787690,9.090473,8.288718
_10_mean_target_depth,8.854330,8.701371,8.864180,8.907426,8.850888,8.660416,8.897049,8.897852,9.036404,8.796808,8.846672
_10_median_diff,2.777930,2.611162,1.683630,2.255873,2.441720,2.250862,2.528772,2.300404,4.105521,3.802174,2.675805
_10_median_prediction_depth,9.748607,6.805517,7.465873,7.701808,7.369430,8.578758,7.071762,7.008857,10.723080,9.027529,8.150122
_10_median_target_depth,8.915799,8.738538,8.908115,8.962641,8.961326,8.702452,8.967955,8.939524,9.097347,8.845583,8.903928
_10_squ_rel_diff,0.217933,0.169109,0.077295,0.139096,0.203802,0.208649,0.161817,0.149159,0.415614,0.361534,0.210401
_10_threshold_delta_1.25,0.441576,0.365921,0.629554,0.447558,0.361646,0.437779,0.427535,0.393077,0.320203,0.310248,0.413510
_10_threshold_delta_1.25^2,0.741467,0.627260,0.827981,0.738041,0.664963,0.715743,0.682790,0.715789,0.604268,0.564827,0.688313
_10_threshold_delta_1.25^3,0.905859,0.783205,0.924907,0.887911,0.850361,0.854039,0.820640,0.882388,0.801046,0.729804,0.844016
_20_RMS_linear,4.914478,3.290701,2.706381,3.342679,3.770319,4.386420,3.376426,3.195255,5.966805,6.424774,4.137424
_20_RMS_log,0.286066,0.255504,0.166660,0.216943,0.255876,0.282589,0.238730,0.225916,0.325523,0.359387,0.261319
_20_SILog,0.033442,0.068778,0.029779,0.044033,0.060763,0.079074,0.057721,0.054691,0.047374,0.093714,0.056937
_20_abs_rel_diff,0.290922,0.178736,0.115826,0.170642,0.193808,0.235157,0.170554,0.164251,0.331312,0.330666,0.218187
_20_mean_depth_error,4.133515,2.442032,1.635001,2.424707,2.635602,3.159798,2.359213,2.228963,4.850045,4.838331,3.070721
_20_mean_prediction_depth,18.019289,15.432841,15.264010,15.962772,15.813946,16.032238,15.520636,14.923342,19.439026,18.496395,16.490450
_20_mean_target_depth,14.498526,14.612789,14.649760,14.931633,14.639586,14.173423,14.640490,14.393225,15.404429,15.192662,14.713652
_20_median_diff,3.473022,1.352231,0.671041,1.238255,1.344008,1.763498,1.305001,0.785747,3.965782,3.321460,1.922004
_20_median_prediction_depth,18.161720,15.678585,15.376932,16.183054,15.948572,15.706464,15.693933,14.938076,19.288929,17.822171,16.479844
_20_median_target_depth,14.784348,14.872666,14.891761,15.421062,14.987102,14.222891,14.967916,14.608089,15.792289,15.384184,14.993231
_20_squ_rel_diff,0.153691,0.073150,0.041375,0.067552,0.092372,0.135782,0.077272,0.067312,0.243425,0.268900,0.122083
_20_threshold_delta_1.25,0.530302,0.746800,0.882718,0.759957,0.722906,0.669157,0.773800,0.764527,0.522947,0.540358,0.691347
_20_threshold_delta_1.25^2,0.861266,0.919696,0.964270,0.932538,0.908658,0.878377,0.922150,0.928967,0.823565,0.812478,0.895196
_20_threshold_delta_1.25^3,0.973711,0.966335,0.986911,0.981465,0.967199,0.951427,0.967083,0.973934,0.934655,0.918644,0.962136
_30_RMS_linear,6.044494,4.062594,4.187957,4.500520,4.641833,5.800448,4.427550,4.325270,7.285497,8.297802,5.357397
_30_RMS_log,0.265183,0.220656,0.178689,0.212884,0.232178,0.275067,0.215051,0.216214,0.291902,0.327643,0.243547
_30_SILog,0.037348,0.052246,0.032713,0.042990,0.051683,0.073222,0.045664,0.049955,0.046022,0.077163,0.050901
_30_abs_rel_diff,0.262573,0.159864,0.130529,0.169596,0.179305,0.230045,0.157341,0.161641,0.280476,0.300307,0.203168
_30_mean_depth_error,4.933076,2.882329,2.459231,3.152591,3.217121,4.013134,2.883454,2.869712,5.430596,5.826805,3.766805
_30_mean_prediction_depth,23.732343,20.872476,20.028676,20.838817,20.937972,20.724563,21.203121,19.777319,25.630439,25.041160,21.878689
_30_mean_target_depth,19.679761,19.246652,18.569795,19.147326,19.101740,18.050838,19.301245,18.389215,20.786152,20.310195,19.258292
_30_median_diff,3.785071,1.837386,1.098249,1.577401,1.878056,2.123605,2.067034,1.372095,4.243380,3.570894,2.355317
_30_median_prediction_depth,23.720945,21.032471,19.305762,20.485893,20.853381,19.638838,21.404221,19.375260,25.322714,23.920279,21.505977
_30_median_target_depth,19.950136,19.278218,18.247952,19.068284,19.015596,17.610959,19.349825,18.125699,21.134295,20.511720,19.229268
_30_squ_rel_diff,0.121652,0.058284,0.049175,0.063168,0.075043,0.124739,0.065418,0.062763,0.182391,0.218566,0.102120
_30_threshold_delta_1.25,0.562782,0.797808,0.864031,0.760499,0.752881,0.676063,0.811742,0.779122,0.615679,0.593837,0.721444
_30_threshold_delta_1.25^2,0.908109,0.946995,0.959847,0.941760,0.931489,0.884787,0.942816,0.938084,0.871657,0.838800,0.916434
_30_threshold_delta_1.25^3,0.984124,0.980188,0.988325,0.987072,0.979638,0.960683,0.978845,0.981443,0.952515,0.938663,0.973150
_RMS_linear,9.268593,6.868945,6.693593,7.263739,7.417817,8.627732,7.301115,7.055193,10.142385,10.426279,8.106539
_RMS_log,0.250366,0.212012,0.193163,0.219946,0.224276,0.271631,0.202128,0.213438,0.250241,0.268080,0.230528
_SILog,0.065779,0.049162,0.039478,0.051617,0.051918,0.080967,0.043491,0.048654,0.065573,0.075510,0.057215
_abs_rel_diff,0.214322,0.150935,0.135075,0.167960,0.164846,0.206737,0.144809,0.157788,0.207343,0.215563,0.176538
_mean_depth_error,7.053297,4.677165,4.032289,4.936904,5.038984,5.888257,4.897052,4.756219,7.571026,7.735938,5.658713
_mean_prediction_depth,35.526700,32.350635,28.366327,29.839242,32.415649,30.016242,34.941748,30.799521,40.169116,40.090736,33.451592
_mean_target_depth,35.627362,32.415595,28.372034,29.841509,32.436712,30.008295,35.074646,30.801699,40.201502,40.086173,33.486553
_median_diff,2.068869,2.301689,2.020594,1.994459,2.074348,2.909485,2.372772,2.319948,2.612047,4.098424,2.477264
_median_prediction_depth,34.219830,30.673433,26.337238,27.494756,30.282443,28.385044,33.468369,28.598066,39.483120,41.266629,32.020893
_median_target_depth,32.751900,28.679186,24.657877,25.905632,28.643586,25.842026,31.292930,26.485824,38.159998,38.736626,30.115559
_squ_rel_diff,0.080047,0.047249,0.045295,0.055888,0.058142,0.091557,0.048141,0.053291,0.094614,0.106084,0.068031
_threshold_delta_1.25,0.621800,0.794530,0.835711,0.742003,0.762064,0.678160,0.813588,0.772294,0.676211,0.662784,0.735915
_threshold_delta_1.25^2,0.924743,0.955377,0.956376,0.942917,0.941548,0.898650,0.959577,0.948747,0.920740,0.904112,0.935279
_threshold_delta_1.25^3,0.986899,0.986326,0.987754,0.986582,0.983948,0.967399,0.986812,0.986340,0.978914,0.974129,0.982510
