METRIC,interlaken_00_f,MEAN
_10_RMS_linear,3.355016,3.355016
_10_RMS_log,0.329566,0.329566
_10_SILog,0.029686,0.029686
_10_abs_rel_diff,0.350209,0.350209
_10_mean_depth_error,3.079408,3.079408
_10_mean_prediction_depth,10.377216,10.377216
_10_mean_target_depth,8.854189,8.854189
_10_median_diff,2.846406,2.846406
_10_median_prediction_depth,10.222024,10.222024
_10_median_target_depth,8.915830,8.915830
_10_squ_rel_diff,0.250282,0.250282
_10_threshold_delta_1.25,0.472362,0.472362
_10_threshold_delta_1.25^2,0.751804,0.751804
_10_threshold_delta_1.25^3,0.901046,0.901046
_20_RMS_linear,4.222386,4.222386
_20_RMS_log,0.249660,0.249660
_20_SILog,0.033793,0.033793
_20_abs_rel_diff,0.242696,0.242696
_20_mean_depth_error,3.323900,3.323900
_20_mean_prediction_depth,17.017723,17.017723
_20_mean_target_depth,14.498504,14.498504
_20_median_diff,2.493979,2.493979
_20_median_prediction_depth,16.944139,16.944139
_20_median_target_depth,14.784437,14.784437
_20_squ_rel_diff,0.134940,0.134940
_20_threshold_delta_1.25,0.648773,0.648773
_20_threshold_delta_1.25^2,0.895614,0.895614
_20_threshold_delta_1.25^3,0.969947,0.969947
_30_RMS_linear,5.434069,5.434069
_30_RMS_log,0.236791,0.236791
_30_SILog,0.038158,0.038158
_30_abs_rel_diff,0.221764,0.221764
_30_mean_depth_error,4.141865,4.141865
_30_mean_prediction_depth,22.785586,22.785586
_30_mean_target_depth,19.679779,19.679779
_30_median_diff,2.371203,2.371203
_30_median_prediction_depth,22.233168,22.233168
_30_median_target_depth,19.950091,19.950091
_30_squ_rel_diff,0.103624,0.103624
_30_threshold_delta_1.25,0.669277,0.669277
_30_threshold_delta_1.25^2,0.930586,0.930586
_30_threshold_delta_1.25^3,0.981063,0.981063
_RMS_linear,9.025635,9.025635
_RMS_log,0.234528,0.234528
_SILog,0.057901,0.057901
_abs_rel_diff,0.196354,0.196354
_mean_depth_error,6.659043,6.659043
_mean_prediction_depth,35.654891,35.654891
_mean_target_depth,35.702084,35.702084
_median_diff,2.485602,2.485602
_median_prediction_depth,34.828962,34.828962
_median_target_depth,32.841328,32.841328
_squ_rel_diff,0.073180,0.073180
_threshold_delta_1.25,0.672770,0.672770
_threshold_delta_1.25^2,0.937795,0.937795
_threshold_delta_1.25^3,0.987265,0.987265
