METRIC,test/outdoor_day1,test/outdoor_night1,test/outdoor_night2,test/outdoor_night3,MEAN
_10_RMS_linear,3.115801,4.224935,3.559497,3.385531,3.571441
_10_RMS_log,0.440987,0.647731,0.478904,0.449323,0.504236
_10_SILog,0.208943,0.455955,0.232582,0.196840,0.273580
_10_abs_rel_diff,0.353804,0.555453,0.437687,0.418836,0.441445
_10_mean_depth_error,1.777435,2.634426,2.299912,2.277218,2.247248
_10_mean_prediction_depth,6.490754,6.592103,7.148048,7.099433,6.832585
_10_mean_target_depth,5.411039,5.355736,5.741405,5.705741,5.553480
_10_median_diff,0.657450,0.541903,0.810893,0.757232,0.691869
_10_median_prediction_depth,5.687543,5.311306,6.293618,6.200709,5.873294
_10_median_target_depth,5.171847,5.133632,5.587781,5.544847,5.359527
_10_squ_rel_diff,0.523167,2.670429,0.860747,0.486144,1.135122
_10_threshold_delta_1.25,0.575635,0.355019,0.463816,0.445370,0.459960
_10_threshold_delta_1.25^2,0.799978,0.607203,0.720976,0.716142,0.711075
_10_threshold_delta_1.25^3,0.891503,0.765876,0.856394,0.860665,0.843609
_20_RMS_linear,4.326981,5.121660,4.368865,4.225603,4.510777
_20_RMS_log,0.427938,0.590247,0.436304,0.413795,0.467071
_20_SILog,0.194965,0.387504,0.199465,0.171379,0.238328
_20_abs_rel_diff,0.349342,0.511617,0.389519,0.375383,0.406465
_20_mean_depth_error,2.466087,3.345088,2.908754,2.922130,2.910515
_20_mean_prediction_depth,9.147595,9.794159,10.234893,10.242407,9.854764
_20_mean_target_depth,7.663319,7.987369,8.772666,8.794592,8.304487
_20_median_diff,0.862606,1.067498,1.161852,1.197737,1.072423
_20_median_prediction_depth,7.308064,7.817811,8.973665,9.015933,8.278868
_20_median_target_depth,6.502563,6.798767,7.841749,7.847624,7.247676
_20_squ_rel_diff,0.470510,2.140593,0.659892,0.378550,0.912386
_20_threshold_delta_1.25,0.569270,0.380545,0.482157,0.460899,0.473218
_20_threshold_delta_1.25^2,0.799215,0.645649,0.758860,0.755443,0.739792
_20_threshold_delta_1.25^3,0.898626,0.803808,0.889163,0.895161,0.871689
_30_RMS_linear,4.719247,5.428744,4.750890,4.639114,4.884499
_30_RMS_log,0.420610,0.569068,0.424604,0.404536,0.454705
_30_SILog,0.190271,0.361404,0.193582,0.169531,0.228697
_30_abs_rel_diff,0.340915,0.482226,0.370194,0.358305,0.387910
_30_mean_depth_error,2.784970,3.620496,3.240550,3.264791,3.227702
_30_mean_prediction_depth,10.555379,11.505530,11.863278,11.823473,11.436915
_30_mean_target_depth,9.218200,9.910006,10.747362,10.773796,10.162341
_30_median_diff,0.992115,1.428778,1.324049,1.448477,1.298355
_30_median_prediction_depth,8.104765,9.169182,10.360492,10.484750,9.529797
_30_median_target_depth,7.181192,7.757206,9.128596,9.122976,8.297492
_30_squ_rel_diff,0.440922,1.907705,0.567692,0.336067,0.813096
_30_threshold_delta_1.25,0.564406,0.398019,0.486959,0.465475,0.478715
_30_threshold_delta_1.25^2,0.803192,0.668090,0.768188,0.764628,0.751024
_30_threshold_delta_1.25^3,0.904873,0.820885,0.897562,0.903178,0.881625
_RMS_linear,6.796705,7.197398,6.314649,6.278416,6.646792
_RMS_log,0.426744,0.553116,0.425706,0.410139,0.453926
_SILog,0.196629,0.336417,0.195172,0.176313,0.226133
_abs_rel_diff,0.336716,0.456228,0.361474,0.353137,0.376889
_mean_depth_error,3.765778,4.562545,3.990412,4.006208,4.081236
_mean_prediction_depth,12.400966,13.795316,13.423295,13.158592,13.194543
_mean_target_depth,12.303211,13.586673,13.334468,13.095088,13.079860
_median_diff,1.222545,1.996297,1.510093,1.623570,1.588126
_median_prediction_depth,9.209741,10.895531,11.589472,11.480484,10.793807
_median_target_depth,8.058147,8.915295,10.211372,9.972502,9.289329
_squ_rel_diff,0.411481,1.710537,0.524700,0.316106,0.740706
_threshold_delta_1.25,0.545033,0.397682,0.478332,0.455913,0.469240
_threshold_delta_1.25^2,0.788715,0.675619,0.761219,0.754631,0.745046
_threshold_delta_1.25^3,0.899730,0.832073,0.896042,0.898818,0.881666
