METRIC,test/outdoor_day1,test/outdoor_night1,test/outdoor_night2,test/outdoor_night3,MEAN
_10_RMS_linear,3.784091,5.629170,4.542767,4.478367,4.608599
_10_RMS_log,0.641284,0.863002,0.726001,0.731780,0.740517
_10_SILog,0.434461,0.754393,0.543831,0.547879,0.570141
_10_abs_rel_diff,0.467625,0.757829,0.592735,0.569885,0.597018
_10_mean_depth_error,2.431731,3.888490,3.244089,3.235298,3.199902
_10_mean_prediction_depth,6.870156,8.261561,8.072729,8.036217,7.810166
_10_mean_target_depth,5.543796,5.618996,5.941028,5.950471,5.763573
_10_median_diff,0.682741,1.611956,1.724265,1.748560,1.441880
_10_median_prediction_depth,5.844272,6.983600,7.463698,7.469128,6.940174
_10_median_target_depth,5.303862,5.401073,5.782429,5.785542,5.568227
_10_squ_rel_diff,0.692792,3.029347,1.169800,0.783228,1.418792
_10_threshold_delta_1.25,0.439478,0.271703,0.345827,0.344234,0.350310
_10_threshold_delta_1.25^2,0.666054,0.486499,0.570342,0.551762,0.568664
_10_threshold_delta_1.25^3,0.793835,0.644096,0.726383,0.716686,0.720250
_20_RMS_linear,4.765147,6.150191,4.877041,4.749613,5.135498
_20_RMS_log,0.586160,0.755623,0.613200,0.612526,0.641877
_20_SILog,0.366091,0.573385,0.382710,0.378304,0.425122
_20_abs_rel_diff,0.449147,0.677172,0.502540,0.474863,0.525931
_20_mean_depth_error,3.159612,4.567261,3.676463,3.577170,3.745127
_20_mean_prediction_depth,9.964793,11.836439,11.689846,11.670369,11.290362
_20_mean_target_depth,7.832398,8.322839,9.013810,9.090199,8.564811
_20_median_diff,1.662257,4.122860,3.805813,3.648001,3.309733
_20_median_prediction_depth,8.316264,11.265767,11.890360,11.804519,10.819227
_20_median_target_depth,6.670530,7.145638,8.089066,8.156898,7.515533
_20_squ_rel_diff,0.601024,2.374830,0.861790,0.565976,1.100905
_20_threshold_delta_1.25,0.436187,0.281411,0.388431,0.398323,0.376088
_20_threshold_delta_1.25^2,0.691034,0.548635,0.660777,0.659111,0.639889
_20_threshold_delta_1.25^3,0.828577,0.722092,0.810920,0.810898,0.793122
_30_RMS_linear,4.902235,6.075534,4.987445,4.810646,5.193965
_30_RMS_log,0.563675,0.713690,0.579896,0.578073,0.608834
_30_SILog,0.339777,0.516436,0.345320,0.341432,0.385741
_30_abs_rel_diff,0.425451,0.616667,0.461079,0.435531,0.484682
_30_mean_depth_error,3.299271,4.516963,3.774734,3.649631,3.810150
_30_mean_prediction_depth,11.326535,13.236683,13.086419,12.988463,12.659525
_30_mean_target_depth,9.417509,10.320985,11.027484,11.100492,10.466617
_30_median_diff,2.188100,5.107029,4.571985,4.373192,4.060076
_30_median_prediction_depth,9.533344,13.299142,13.999874,13.841798,12.668539
_30_median_target_depth,7.378204,8.192690,9.435717,9.469303,8.618978
_30_squ_rel_diff,0.554409,2.082967,0.734899,0.492366,0.966160
_30_threshold_delta_1.25,0.457211,0.332935,0.421763,0.434442,0.411588
_30_threshold_delta_1.25^2,0.712457,0.594686,0.692317,0.693013,0.673118
_30_threshold_delta_1.25^3,0.843152,0.752721,0.832786,0.833327,0.815496
_RMS_linear,7.615777,9.132393,7.779374,7.553212,8.020189
_RMS_log,0.562534,0.699023,0.584618,0.583405,0.607395
_SILog,0.336406,0.503325,0.356364,0.351394,0.386872
_abs_rel_diff,0.416307,0.583189,0.452558,0.431739,0.470948
_mean_depth_error,4.488025,6.002004,4.976915,4.810322,5.069317
_mean_prediction_depth,12.796029,14.639279,13.960905,13.745518,13.785433
_mean_target_depth,12.582524,14.160069,13.693518,13.499087,13.483799
_median_diff,2.939661,6.048732,4.932406,4.676674,4.649368
_median_prediction_depth,11.216411,15.554592,15.497812,15.035898,14.326178
_median_target_depth,8.310460,9.505860,10.566797,10.359754,9.685718
_squ_rel_diff,0.515226,1.842081,0.678341,0.462025,0.874418
_threshold_delta_1.25,0.440192,0.316758,0.400127,0.408804,0.391470
_threshold_delta_1.25^2,0.697240,0.582715,0.669089,0.668923,0.654492
_threshold_delta_1.25^3,0.835849,0.752864,0.819255,0.820676,0.807161
