METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,4.513773,3.299240,2.597629,3.194482,3.548745,2.773358,3.160207,3.206514,3.261241,5.174393,3.472958
_10_RMS_log,0.471364,0.494817,0.301231,0.474183,0.541730,0.330662,0.479660,0.529807,0.370044,0.570753,0.456425
_10_SILog,0.041250,0.084450,0.027138,0.055452,0.079316,0.067201,0.050390,0.103238,0.024801,0.061412,0.059465
_10_abs_rel_diff,0.493913,0.353932,0.287551,0.346745,0.371973,0.263803,0.337001,0.347427,0.348892,0.556406,0.370764
_10_mean_depth_error,4.338780,3.118236,2.520160,3.063843,3.247531,2.332429,2.970914,3.055215,3.140128,5.019031,3.280627
_10_mean_prediction_depth,11.206537,8.030055,10.134652,7.149561,6.364963,8.579155,7.492127,6.218709,9.485199,10.968926,8.562988
_10_mean_target_depth,8.855259,8.705237,8.863308,8.908791,8.850549,8.661724,8.897331,8.902278,9.044572,8.935991,8.862504
_10_median_diff,4.205844,3.007894,2.451628,2.929013,3.000971,1.968390,2.884682,3.008298,3.065607,4.919644,3.144197
_10_median_prediction_depth,11.146656,7.964481,10.085869,7.037251,6.201900,8.288622,7.490722,6.081615,9.455427,10.902206,8.465475
_10_median_target_depth,8.916477,8.742339,8.907482,8.964324,8.961205,8.701781,8.967686,8.944195,9.107043,8.987554,8.920009
_10_squ_rel_diff,0.384925,0.195151,0.126975,0.168191,0.213522,0.137849,0.186649,0.174739,0.246288,0.575935,0.241022
_10_threshold_delta_1.25,0.263125,0.324713,0.451925,0.295227,0.274727,0.481168,0.408829,0.285084,0.421128,0.272502,0.347843
_10_threshold_delta_1.25^2,0.569584,0.633742,0.873014,0.597674,0.510322,0.797335,0.614464,0.558466,0.717260,0.508826,0.638069
_10_threshold_delta_1.25^3,0.806095,0.803392,0.932439,0.791359,0.727514,0.888845,0.770314,0.782237,0.865207,0.687097,0.805450
_20_RMS_linear,5.124452,3.895759,4.862016,3.582104,3.955688,4.172879,3.508987,3.948995,4.953351,6.272088,4.427632
_20_RMS_log,0.323433,0.273227,0.243229,0.248279,0.285047,0.245882,0.256305,0.286282,0.262641,0.348124,0.277245
_20_SILog,0.038492,0.069355,0.041799,0.059418,0.080285,0.059462,0.057663,0.088031,0.042314,0.057083,0.059390
_20_abs_rel_diff,0.328741,0.209724,0.210565,0.179776,0.192967,0.186460,0.189318,0.194307,0.243359,0.349312,0.228453
_20_mean_depth_error,4.497635,2.874967,2.980956,2.494424,2.612188,2.516521,2.609517,2.654615,3.597159,5.036250,3.187423
_20_mean_prediction_depth,18.351236,16.203327,17.298789,15.713963,15.070581,15.589346,15.782950,14.770900,18.068855,18.912926,16.576287
_20_mean_target_depth,14.498887,14.615219,14.646488,14.932714,14.639095,14.169765,14.640041,14.395468,15.402117,15.175257,14.711505
_20_median_diff,3.960257,1.776541,2.026418,1.174297,0.931679,1.289194,1.709956,0.843102,2.617564,4.034847,2.036386
_20_median_prediction_depth,18.529125,16.241992,16.912746,15.966941,15.062022,15.110270,16.039201,14.599595,17.881280,18.441985,16.478516
_20_median_target_depth,14.784267,14.874659,14.888243,15.421954,14.986513,14.217213,14.967064,14.609384,15.791347,15.370566,14.991121
_20_squ_rel_diff,0.186045,0.100990,0.123313,0.074701,0.092495,0.104626,0.079156,0.087744,0.164529,0.270394,0.128399
_20_threshold_delta_1.25,0.463653,0.701688,0.759907,0.741312,0.702784,0.767375,0.745095,0.707143,0.678980,0.502775,0.677071
_20_threshold_delta_1.25^2,0.828419,0.908256,0.931155,0.921726,0.890967,0.922622,0.919485,0.889628,0.894899,0.784534,0.889169
_20_threshold_delta_1.25^3,0.957043,0.961905,0.970579,0.969809,0.953788,0.965498,0.965822,0.953207,0.959549,0.915021,0.957222
_30_RMS_linear,5.639752,4.592270,6.007956,4.428010,4.969756,5.706708,4.626513,5.130634,6.493532,7.468865,5.506400
_30_RMS_log,0.272423,0.235824,0.235897,0.220661,0.252908,0.244747,0.226316,0.267386,0.248803,0.307156,0.251212
_30_SILog,0.037820,0.054563,0.046334,0.047814,0.066825,0.059316,0.046468,0.078748,0.041036,0.054134,0.053306
_30_abs_rel_diff,0.258800,0.178830,0.192736,0.161680,0.178474,0.187087,0.170634,0.189351,0.216305,0.289927,0.202383
_30_mean_depth_error,4.552803,3.138976,3.375033,2.881193,3.196475,3.294131,3.098527,3.328892,4.273879,5.410594,3.655050
_30_mean_prediction_depth,23.697930,21.384522,21.246365,20.816549,20.716137,20.279413,21.551722,20.033270,24.474407,24.920633,21.912095
_30_mean_target_depth,19.674696,19.244935,18.562093,19.146843,19.100084,18.041994,19.298261,18.390917,20.783047,20.287315,19.253018
_30_median_diff,4.025781,2.213366,2.221882,1.711529,1.503770,1.607179,2.389349,1.381035,3.105366,3.845393,2.400465
_30_median_prediction_depth,23.967530,21.449914,20.454651,20.749441,20.497632,19.066749,21.729618,19.471860,24.223025,24.206780,21.581720
_30_median_target_depth,19.941749,19.274980,18.232769,19.067511,19.013759,17.597414,19.346468,18.126812,21.131291,20.486834,19.221959
_30_squ_rel_diff,0.126251,0.080414,0.117842,0.064748,0.080089,0.105373,0.068938,0.084466,0.131276,0.200318,0.105972
_30_threshold_delta_1.25,0.594245,0.776603,0.792430,0.787156,0.744374,0.770550,0.793561,0.730831,0.729505,0.604467,0.732372
_30_threshold_delta_1.25^2,0.903401,0.934932,0.931945,0.945704,0.917332,0.918151,0.939619,0.904485,0.915910,0.849347,0.916082
_30_threshold_delta_1.25^3,0.974765,0.974470,0.971156,0.980697,0.970163,0.968254,0.978602,0.965640,0.969181,0.945037,0.969797
_RMS_linear,8.558290,6.995770,8.235289,6.375954,6.835169,7.865647,7.198845,7.142587,8.948831,9.323048,7.747943
_RMS_log,0.237422,0.217129,0.237021,0.203888,0.219596,0.231089,0.202344,0.241642,0.214713,0.240779,0.224562
_SILog,0.059270,0.052250,0.057390,0.043683,0.050175,0.056438,0.042905,0.063179,0.047378,0.061520,0.053419
_abs_rel_diff,0.197548,0.159000,0.184165,0.146678,0.154030,0.171590,0.148563,0.169045,0.170563,0.195871,0.169705
_mean_depth_error,6.287193,4.738668,5.091286,4.164624,4.613095,5.045040,4.926582,4.844931,6.389682,6.913091,5.301419
_mean_prediction_depth,35.140894,32.177285,28.194122,29.607431,32.236641,29.853600,34.749952,30.744804,39.881800,39.606315,33.219284
_mean_target_depth,35.549483,32.400786,28.353215,29.755777,32.374403,29.958761,35.061907,30.789704,40.085153,39.912842,33.424203
_median_diff,2.162341,2.319326,2.244034,2.628100,3.021478,2.852692,2.813541,3.480826,2.833763,3.700623,2.805672
