METRIC,interlaken_00_f,MEAN
_10_RMS_linear,3.805243,3.805243
_10_RMS_log,0.492569,0.492569
_10_SILog,0.085233,0.085233
_10_abs_rel_diff,0.408527,0.408527
_10_mean_depth_error,3.586317,3.586317
_10_mean_prediction_depth,9.156233,9.156233
_10_mean_target_depth,8.858931,8.858931
_10_median_diff,3.437011,3.437011
_10_median_prediction_depth,9.109938,9.109938
_10_median_target_depth,8.920306,8.920306
_10_squ_rel_diff,0.274511,0.274511
_10_threshold_delta_1.25,0.319266,0.319266
_10_threshold_delta_1.25^2,0.606601,0.606601
_10_threshold_delta_1.25^3,0.811947,0.811947
_20_RMS_linear,4.963408,4.963408
_20_RMS_log,0.324132,0.324132
_20_SILog,0.058238,0.058238
_20_abs_rel_diff,0.303329,0.303329
_20_mean_depth_error,4.272188,4.272188
_20_mean_prediction_depth,17.820611,17.820611
_20_mean_target_depth,14.501821,14.501821
_20_median_diff,3.460948,3.460948
_20_median_prediction_depth,18.095096,18.095096
_20_median_target_depth,14.786923,14.786923
_20_squ_rel_diff,0.162869,0.162869
_20_threshold_delta_1.25,0.505108,0.505108
_20_threshold_delta_1.25^2,0.836250,0.836250
_20_threshold_delta_1.25^3,0.956378,0.956378
_30_RMS_linear,6.138884,6.138884
_30_RMS_log,0.290006,0.290006
_30_SILog,0.054062,0.054062
_30_abs_rel_diff,0.272540,0.272540
_30_mean_depth_error,5.114137,5.114137
_30_mean_prediction_depth,23.707814,23.707814
_30_mean_target_depth,19.682781,19.682781
_30_median_diff,3.895245,3.895245
_30_median_prediction_depth,23.822232,23.822232
_30_median_target_depth,19.952623,19.952623
_30_squ_rel_diff,0.126430,0.126430
_30_threshold_delta_1.25,0.531995,0.531995
_30_threshold_delta_1.25^2,0.894715,0.894715
_30_threshold_delta_1.25^3,0.974713,0.974713
_RMS_linear,9.307627,9.307627
_RMS_log,0.266444,0.266444
_SILog,0.074330,0.074330
_abs_rel_diff,0.218571,0.218571
_mean_depth_error,7.124793,7.124793
_mean_prediction_depth,35.547954,35.547954
_mean_target_depth,35.640406,35.640406
_median_diff,2.480738,2.480738
_median_prediction_depth,34.440981,34.440981
_median_target_depth,32.764943,32.764943
_squ_rel_diff,0.081920,0.081920
_threshold_delta_1.25,0.606461,0.606461
_threshold_delta_1.25^2,0.920423,0.920423
_threshold_delta_1.25^3,0.981576,0.981576
