METRIC,interlaken_00_f,MEAN
_10_RMS_linear,4.487055,4.487055
_10_RMS_log,0.566669,0.566669
_10_SILog,0.134137,0.134137
_10_abs_rel_diff,0.473234,0.473234
_10_mean_depth_error,4.166410,4.166410
_10_mean_prediction_depth,9.448711,9.448711
_10_mean_target_depth,8.865950,8.865950
_10_median_diff,3.812651,3.812651
_10_median_prediction_depth,9.171951,9.171951
_10_median_target_depth,8.928511,8.928511
_10_squ_rel_diff,0.390156,0.390156
_10_threshold_delta_1.25,0.280523,0.280523
_10_threshold_delta_1.25^2,0.550473,0.550473
_10_threshold_delta_1.25^3,0.752406,0.752406
_20_RMS_linear,5.613932,5.613932
_20_RMS_log,0.362781,0.362781
_20_SILog,0.075476,0.075476
_20_abs_rel_diff,0.342926,0.342926
_20_mean_depth_error,4.801655,4.801655
_20_mean_prediction_depth,18.232313,18.232313
_20_mean_target_depth,14.507832,14.507832
_20_median_diff,3.814886,3.814886
_20_median_prediction_depth,18.431068,18.431068
_20_median_target_depth,14.791718,14.791718
_20_squ_rel_diff,0.216156,0.216156
_20_threshold_delta_1.25,0.455944,0.455944
_20_threshold_delta_1.25^2,0.792762,0.792762
_20_threshold_delta_1.25^3,0.931995,0.931995
_30_RMS_linear,6.718628,6.718628
_30_RMS_log,0.319264,0.319264
_30_SILog,0.064145,0.064145
_30_abs_rel_diff,0.302194,0.302194
_30_mean_depth_error,5.613968,5.613968
_30_mean_prediction_depth,24.217056,24.217056
_30_mean_target_depth,19.688307,19.688307
_30_median_diff,4.399034,4.399034
_30_median_prediction_depth,24.337082,24.337082
_30_median_target_depth,19.957893,19.957893
_30_squ_rel_diff,0.161186,0.161186
_30_threshold_delta_1.25,0.490154,0.490154
_30_threshold_delta_1.25^2,0.864139,0.864139
_30_threshold_delta_1.25^3,0.961820,0.961820
_RMS_linear,10.041857,10.041857
_RMS_log,0.289437,0.289437
_SILog,0.087127,0.087127
_abs_rel_diff,0.238307,0.238307
_mean_depth_error,7.727454,7.727454
_mean_prediction_depth,35.683554,35.683554
_mean_target_depth,35.724674,35.724674
_median_diff,2.742165,2.742165
_median_prediction_depth,34.832558,34.832558
_median_target_depth,32.839708,32.839708
_squ_rel_diff,0.100012,0.100012
_threshold_delta_1.25,0.567919,0.567919
_threshold_delta_1.25^2,0.895689,0.895689
_threshold_delta_1.25^3,0.973525,0.973525
