METRIC,interlaken_00_f,MEAN
_10_RMS_linear,6.422598,6.422598
_10_RMS_log,1.810079,1.810079
_10_SILog,0.973091,0.973091
_10_abs_rel_diff,0.639563,0.639563
_10_mean_depth_error,6.094381,6.094381
_10_mean_prediction_depth,3.626567,3.626567
_10_mean_target_depth,8.304711,8.304711
_10_median_diff,5.847394,5.847394
_10_median_prediction_depth,3.389828,3.389828
_10_median_target_depth,8.341010,8.341010
_10_squ_rel_diff,0.569854,0.569854
_10_threshold_delta_1.25,0.073097,0.073097
_10_threshold_delta_1.25^2,0.149814,0.149814
_10_threshold_delta_1.25^3,0.217896,0.217896
_20_RMS_linear,8.202270,8.202270
_20_RMS_log,0.629455,0.629455
_20_SILog,0.364570,0.364570
_20_abs_rel_diff,0.463049,0.463049
_20_mean_depth_error,7.151500,7.151500
_20_mean_prediction_depth,20.217558,20.217558
_20_mean_target_depth,15.210071,15.210071
_20_median_diff,6.161196,6.161196
_20_median_prediction_depth,21.535172,21.535172
_20_median_target_depth,15.386947,15.386947
_20_squ_rel_diff,0.291847,0.291847
_20_threshold_delta_1.25,0.229674,0.229674
_20_threshold_delta_1.25^2,0.604952,0.604952
_20_threshold_delta_1.25^3,0.888213,0.888213
_30_RMS_linear,9.927170,9.927170
_30_RMS_log,0.514987,0.514987
_30_SILog,0.215541,0.215541
_30_abs_rel_diff,0.443377,0.443377
_30_mean_depth_error,8.851047,8.851047
_30_mean_prediction_depth,27.607081,27.607081
_30_mean_target_depth,20.326866,20.326866
_30_median_diff,8.924562,8.924562
_30_median_prediction_depth,29.442334,29.442334
_30_median_target_depth,20.517772,20.517772
_30_squ_rel_diff,0.257324,0.257324
_30_threshold_delta_1.25,0.218098,0.218098
_30_threshold_delta_1.25^2,0.663568,0.663568
_30_threshold_delta_1.25^3,0.940333,0.940333
_RMS_linear,11.315124,11.315124
_RMS_log,0.389899,0.389899
_SILog,0.151585,0.151585
_abs_rel_diff,0.299532,0.299532
_mean_depth_error,9.333974,9.333974
_mean_prediction_depth,37.001890,37.001890
_mean_target_depth,36.518945,36.518945
_median_diff,5.877614,5.877614
_median_prediction_depth,39.404946,39.404946
_median_target_depth,33.651548,33.651548
_squ_rel_diff,0.139768,0.139768
_threshold_delta_1.25,0.435358,0.435358
_threshold_delta_1.25^2,0.827398,0.827398
_threshold_delta_1.25^3,0.969661,0.969661
