METRIC,interlaken_00_f,MEAN
_10_RMS_linear,3.604892,3.604892
_10_RMS_log,0.432200,0.432200
_10_SILog,0.057823,0.057823
_10_abs_rel_diff,0.383527,0.383527
_10_mean_depth_error,3.365486,3.365486
_10_mean_prediction_depth,9.631803,9.631803
_10_mean_target_depth,8.857521,8.857521
_10_median_diff,3.176612,3.176612
_10_median_prediction_depth,9.588580,9.588580
_10_median_target_depth,8.918557,8.918557
_10_squ_rel_diff,0.250259,0.250259
_10_threshold_delta_1.25,0.363311,0.363311
_10_threshold_delta_1.25^2,0.650199,0.650199
_10_threshold_delta_1.25^3,0.853861,0.853861
_20_RMS_linear,5.031790,5.031790
_20_RMS_log,0.314007,0.314007
_20_SILog,0.046884,0.046884
_20_abs_rel_diff,0.305018,0.305018
_20_mean_depth_error,4.315220,4.315220
_20_mean_prediction_depth,18.092989,18.092989
_20_mean_target_depth,14.501023,14.501023
_20_median_diff,3.688660,3.688660
_20_median_prediction_depth,18.371199,18.371199
_20_median_target_depth,14.786459,14.786459
_20_squ_rel_diff,0.157844,0.157844
_20_threshold_delta_1.25,0.480730,0.480730
_20_threshold_delta_1.25^2,0.856233,0.856233
_20_threshold_delta_1.25^3,0.968507,0.968507
_30_RMS_linear,6.177039,6.177039
_30_RMS_log,0.282599,0.282599
_30_SILog,0.044266,0.044266
_30_abs_rel_diff,0.273563,0.273563
_30_mean_depth_error,5.125846,5.125846
_30_mean_prediction_depth,23.976171,23.976171
_30_mean_target_depth,19.680775,19.680775
_30_median_diff,4.137450,4.137450
_30_median_prediction_depth,24.075980,24.075980
_30_median_target_depth,19.949930,19.949930
_30_squ_rel_diff,0.124888,0.124888
_30_threshold_delta_1.25,0.523828,0.523828
_30_threshold_delta_1.25^2,0.910024,0.910024
_30_threshold_delta_1.25^3,0.980765,0.980765
_RMS_linear,9.559196,9.559196
_RMS_log,0.259460,0.259460
_SILog,0.069601,0.069601
_abs_rel_diff,0.219912,0.219912
_mean_depth_error,7.259637,7.259637
_mean_prediction_depth,35.420479,35.420479
_mean_target_depth,35.618362,35.618362
_median_diff,2.573056,2.573056
_median_prediction_depth,34.711258,34.711258
_median_target_depth,32.723533,32.723533
_squ_rel_diff,0.081679,0.081679
_threshold_delta_1.25,0.600055,0.600055
_threshold_delta_1.25^2,0.925860,0.925860
_threshold_delta_1.25^3,0.986191,0.986191
