METRIC,interlaken_00_f,MEAN
_10_RMS_linear,4.935864,4.935864
_10_RMS_log,0.486633,0.486633
_10_SILog,0.047902,0.047902
_10_abs_rel_diff,0.538303,0.538303
_10_mean_depth_error,4.734319,4.734319
_10_mean_prediction_depth,11.795627,11.795627
_10_mean_target_depth,8.858498,8.858498
_10_median_diff,4.554518,4.554518
_10_median_prediction_depth,11.764093,11.764093
_10_median_target_depth,8.919516,8.919516
_10_squ_rel_diff,0.516187,0.516187
_10_threshold_delta_1.25,0.311335,0.311335
_10_threshold_delta_1.25^2,0.552357,0.552357
_10_threshold_delta_1.25^3,0.755929,0.755929
_20_RMS_linear,6.670543,6.670543
_20_RMS_log,0.381696,0.381696
_20_SILog,0.041618,0.041618
_20_abs_rel_diff,0.431513,0.431513
_20_mean_depth_error,6.056942,6.056942
_20_mean_prediction_depth,20.088026,20.088026
_20_mean_target_depth,14.501670,14.501670
_20_median_diff,5.596565,5.596565
_20_median_prediction_depth,20.369534,20.369534
_20_median_target_depth,14.786807,14.786807
_20_squ_rel_diff,0.305353,0.305353
_20_threshold_delta_1.25,0.362055,0.362055
_20_threshold_delta_1.25^2,0.696072,0.696072
_20_threshold_delta_1.25^3,0.914095,0.914095
_30_RMS_linear,7.563478,7.563478
_30_RMS_log,0.337098,0.337098
_30_SILog,0.048887,0.048887
_30_abs_rel_diff,0.362651,0.362651
_30_mean_depth_error,6.615602,6.615602
_30_mean_prediction_depth,25.506631,25.506631
_30_mean_target_depth,19.681982,19.681982
_30_median_diff,5.578427,5.578427
_30_median_prediction_depth,25.510433,25.510433
_30_median_target_depth,19.951622,19.951622
_30_squ_rel_diff,0.217359,0.217359
_30_threshold_delta_1.25,0.416026,0.416026
_30_threshold_delta_1.25^2,0.795708,0.795708
_30_threshold_delta_1.25^3,0.952921,0.952921
_RMS_linear,10.723535,10.723535
_RMS_log,0.301282,0.301282
_SILog,0.094981,0.094981
_abs_rel_diff,0.268734,0.268734
_mean_depth_error,8.458505,8.458505
_mean_prediction_depth,35.503252,35.503252
_mean_target_depth,35.670961,35.670961
_median_diff,2.593839,2.593839
_median_prediction_depth,34.597691,34.597691
_median_target_depth,32.785418,32.785418
_squ_rel_diff,0.125154,0.125154
_threshold_delta_1.25,0.515654,0.515654
_threshold_delta_1.25^2,0.859237,0.859237
_threshold_delta_1.25^3,0.969657,0.969657
