METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.675363,3.492794,2.543601,4.012735,4.014229,6.237025,3.227892,3.371193,9.846491,20.484683,6.090601
_10_RMS_log,0.539868,0.569243,0.334554,0.593177,0.555567,0.550286,0.490588,0.411620,0.954698,1.195697,0.619530
_10_SILog,0.108807,0.150682,0.072635,0.198775,0.173810,0.175218,0.065999,0.110651,0.185656,0.118205,0.136044
_10_abs_rel_diff,0.393248,0.370263,0.261018,0.412604,0.410932,0.633309,0.354084,0.339991,1.059434,2.231307,0.646619
_10_mean_depth_error,3.451446,3.271530,2.286005,3.694247,3.618241,5.591111,3.132878,3.005002,9.639801,20.105900,5.779616
_10_mean_prediction_depth,8.213157,7.381876,8.173048,8.446648,8.398320,12.456621,8.228622,9.251046,14.672061,27.462663,11.268406
_10_mean_target_depth,8.862817,8.712274,8.866706,8.922313,8.865928,8.649957,8.907413,8.900332,8.623499,8.753374,8.806461
_10_median_diff,3.283715,3.008570,2.075341,3.336180,3.192447,4.865891,3.080970,2.550696,9.454476,19.930843,5.477913
_10_median_prediction_depth,8.093212,7.286376,7.941133,8.038891,8.060365,12.089779,8.229144,8.988504,14.503047,27.377134,11.060759
_10_median_target_depth,8.923226,8.749338,8.911769,8.981337,8.974884,8.690143,8.977391,8.942023,8.678900,8.801896,8.863091
_10_squ_rel_diff,0.238076,0.217379,0.135752,0.325087,0.322156,0.862927,0.191710,0.222567,2.220081,7.094482,1.183022
_10_threshold_delta_1.25,0.321028,0.326087,0.508448,0.358735,0.345491,0.264719,0.372487,0.448760,0.154777,0.061300,0.316183
_10_threshold_delta_1.25^2,0.588554,0.579404,0.832220,0.607809,0.604846,0.540524,0.651694,0.719525,0.290877,0.112071,0.552752
_10_threshold_delta_1.25^3,0.765500,0.737869,0.918495,0.758572,0.769097,0.697625,0.807436,0.864679,0.414096,0.169773,0.690314
_20_RMS_linear,4.619586,4.205994,4.427805,5.422812,5.805496,7.104249,4.688167,5.407280,12.138517,19.401640,7.322154
_20_RMS_log,0.327791,0.310382,0.254994,0.342639,0.356721,0.410773,0.301803,0.323457,0.601776,0.829778,0.406012
_20_SILog,0.077448,0.094380,0.060447,0.114038,0.115639,0.115188,0.073437,0.092252,0.145318,0.107480,0.099563
_20_abs_rel_diff,0.271901,0.236350,0.227244,0.297023,0.307377,0.442136,0.248803,0.292457,0.712815,1.292114,0.432822
_20_mean_depth_error,3.800662,3.282252,3.297691,4.296688,4.359179,5.791202,3.560807,4.111177,10.638363,18.193750,6.133177
_20_mean_prediction_depth,16.975185,16.268538,16.883978,17.623962,17.496973,18.932176,16.837445,17.150116,24.654423,32.926727,19.574952
_20_mean_target_depth,14.505121,14.621938,14.651242,14.951863,14.651709,14.174660,14.647447,14.395793,15.477514,15.188078,14.726537
_20_median_diff,2.752132,2.125927,2.129152,2.664792,2.505958,4.313198,2.218789,2.015261,8.906239,17.329921,4.696137
_20_median_prediction_depth,17.180836,16.517738,16.946637,17.717174,17.214256,18.441819,16.616080,16.475761,23.935685,32.587299,19.363329
_20_median_target_depth,14.789863,14.879992,14.893098,15.432682,14.996011,14.223964,14.971955,14.610512,15.849202,15.376695,15.002397
_20_squ_rel_diff,0.134413,0.110080,0.111653,0.181062,0.205284,0.441232,0.129822,0.174301,0.937891,2.443993,0.486973
_20_threshold_delta_1.25,0.546585,0.621212,0.661726,0.540542,0.547763,0.451522,0.630675,0.557120,0.284205,0.089603,0.493095
_20_threshold_delta_1.25^2,0.859687,0.872931,0.912057,0.823088,0.812589,0.720246,0.859930,0.832423,0.488581,0.197567,0.737910
_20_threshold_delta_1.25^3,0.954304,0.957575,0.969919,0.935127,0.926690,0.863680,0.952509,0.943527,0.676143,0.375404,0.855488
_30_RMS_linear,5.883985,5.146690,5.541926,6.260050,6.739866,7.870505,5.955618,6.493370,12.959737,17.203114,8.005486
_30_RMS_log,0.289299,0.270237,0.251713,0.310940,0.320756,0.375823,0.274918,0.306619,0.502148,0.658462,0.356092
_30_SILog,0.064587,0.071239,0.054881,0.089409,0.091167,0.103643,0.061499,0.081765,0.112226,0.109177,0.083959
_30_abs_rel_diff,0.248125,0.212743,0.225178,0.268264,0.277645,0.381621,0.228794,0.276514,0.565065,0.903373,0.358732
_30_mean_depth_error,4.665422,3.853417,4.072870,4.829872,5.013701,6.139800,4.237367,4.870113,10.853939,15.485514,6.402202
_30_mean_prediction_depth,23.138823,21.777966,21.409640,22.394563,22.709459,22.952769,22.539668,21.794375,30.962166,35.478896,24.515833
_30_mean_target_depth,19.685443,19.254252,18.571252,19.164860,19.112526,18.051708,19.306428,18.391793,20.837024,20.314898,19.269018
_30_median_diff,3.425326,2.697898,2.909416,3.566611,3.576166,4.586777,3.169980,3.190304,9.470423,14.641822,5.123472
_30_median_prediction_depth,23.345240,21.930042,21.149440,22.570459,22.580193,22.177352,22.496969,21.315504,30.603212,35.140945,24.330936
_30_median_target_depth,19.955487,19.283761,18.249105,19.082245,19.023306,17.610709,19.353932,18.127816,21.168508,20.513507,19.236837
