METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,4.047416,3.329293,2.328866,3.189135,3.673596,5.783000,3.014975,4.509280,9.981744,24.756822,6.461413
_10_RMS_log,0.472319,0.478546,0.252889,0.400082,0.407153,0.487679,0.373600,0.429249,0.928694,1.309242,0.553945
_10_SILog,0.057744,0.104476,0.018987,0.059536,0.053437,0.067697,0.034942,0.056238,0.237449,0.086025,0.077653
_10_abs_rel_diff,0.435803,0.358817,0.236736,0.337885,0.389148,0.619153,0.329656,0.473774,1.056608,2.703541,0.694112
_10_mean_depth_error,3.827285,3.172808,2.082251,3.015943,3.421829,5.449149,2.911800,4.182728,9.603792,24.320500,6.198809
_10_mean_prediction_depth,9.831844,8.743037,9.596163,9.707593,10.217970,13.200418,9.472789,11.672599,14.695627,32.239557,12.937760
_10_mean_target_depth,8.857179,8.710173,8.863305,8.918178,8.853933,8.658540,8.897532,8.897424,8.254966,8.722098,8.763333
_10_median_diff,3.650417,2.991783,1.882641,2.847353,3.134606,5.067613,2.834701,3.815140,9.303463,24.124116,5.965183
_10_median_prediction_depth,9.702857,8.708708,9.475440,9.588818,10.070749,12.972692,9.470916,11.479717,14.512308,32.153903,12.813611
_10_median_target_depth,8.917547,8.747386,8.907484,8.974083,8.963435,8.698218,8.968625,8.939349,8.307310,8.770351,8.819379
_10_squ_rel_diff,0.330096,0.215210,0.119835,0.203574,0.271442,0.717831,0.183877,0.397240,2.219981,9.375345,1.403443
_10_threshold_delta_1.25,0.322615,0.373755,0.644365,0.439146,0.385095,0.253211,0.448648,0.302473,0.135538,0.024300,0.332915
_10_threshold_delta_1.25^2,0.610569,0.657022,0.896523,0.746936,0.692253,0.521300,0.731518,0.635753,0.265220,0.046968,0.580406
_10_threshold_delta_1.25^3,0.793480,0.821587,0.949543,0.879251,0.857513,0.737043,0.876892,0.859173,0.377291,0.080428,0.723220
_20_RMS_linear,5.213540,4.809696,4.549142,4.813700,5.447499,6.829526,4.986153,6.195750,13.100538,21.683303,7.762885
_20_RMS_log,0.326315,0.308632,0.247023,0.284825,0.316785,0.387238,0.284844,0.350614,0.645038,0.898084,0.404940
