METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,4.052256,3.706767,2.188979,3.847262,4.299793,4.787281,3.118166,3.512707,5.588218,9.388581,4.449001
_10_RMS_log,0.547504,0.649243,0.320037,0.633094,0.719014,0.602973,0.514542,0.547225,0.840068,0.905954,0.627965
_10_SILog,0.116928,0.191348,0.079658,0.127052,0.198331,0.248520,0.093497,0.127235,0.189389,0.181123,0.155308
_10_abs_rel_diff,0.425973,0.387899,0.230885,0.412534,0.451775,0.478026,0.335733,0.372325,0.597864,1.001046,0.469406
_10_mean_depth_error,3.751854,3.434121,2.020794,3.665753,3.961319,4.223265,2.969513,3.274731,5.442897,9.081264,4.182551
_10_mean_prediction_depth,9.068011,7.046387,7.920957,6.490626,6.164678,9.279059,7.443418,6.723643,9.228697,14.104157,8.346963
_10_mean_target_depth,8.872686,8.724772,8.869697,8.912853,8.867610,8.676958,8.908328,8.903719,8.701405,8.382368,8.782039
_10_median_diff,3.507155,3.182084,1.921798,3.448353,3.489110,3.376866,2.847385,3.027017,5.324248,8.818255,3.894227
_10_median_prediction_depth,8.895389,6.877015,7.784085,6.272734,5.792738,8.731513,7.409478,6.447339,9.147273,13.998951,8.135652
_10_median_target_depth,8.932668,8.762396,8.914788,8.967593,8.975576,8.717811,8.977810,8.946091,8.752866,8.427239,8.837484
_10_squ_rel_diff,0.302360,0.245462,0.131392,0.256605,0.308304,0.518787,0.193045,0.238294,0.718536,2.040073,0.495286
_10_threshold_delta_1.25,0.293015,0.292354,0.652571,0.244746,0.203603,0.328753,0.399206,0.288809,0.233685,0.134076,0.307082
_10_threshold_delta_1.25^2,0.590692,0.569657,0.809124,0.481879,0.431436,0.570230,0.660864,0.564420,0.422062,0.276730,0.537709
_10_threshold_delta_1.25^3,0.789220,0.714211,0.884130,0.680450,0.628511,0.694595,0.789804,0.762407,0.571396,0.409761,0.692448
_20_RMS_linear,4.929375,4.380983,4.345404,4.450874,4.951006,5.943250,4.575072,4.667701,7.901465,11.660771,5.780590
_20_RMS_log,0.336839,0.327443,0.229773,0.311639,0.359501,0.380154,0.298991,0.315726,0.449131,0.593950,0.360315
_20_SILog,0.074803,0.113135,0.055430,0.102466,0.136390,0.136636,0.085745,0.106761,0.134342,0.138540,0.108425
_20_abs_rel_diff,0.289565,0.233391,0.171794,0.224763,0.247195,0.330987,0.226445,0.231189,0.422132,0.713084,0.309054
_20_mean_depth_error,4.016503,3.222061,2.503385,3.176945,3.383722,4.344172,3.229143,3.196274,6.247343,10.213031,4.353258
_20_mean_prediction_depth,17.464397,16.072327,16.367946,15.944955,15.641080,17.016650,16.400956,15.439357,19.963162,24.120382,17.443121
_20_mean_target_depth,14.512592,14.629106,14.652820,14.940191,14.649735,14.186757,14.647530,14.397485,15.459755,15.235338,14.731131
_20_median_diff,3.181846,1.623378,1.300159,1.225326,1.093792,2.576052,1.856838,1.035957,4.508216,8.795305,2.719687
_20_median_prediction_depth,17.687400,16.022583,16.148870,15.964515,15.420384,16.572764,16.191534,15.002461,19.352369,23.622420,17.198530
_20_median_target_depth,14.795968,14.885169,14.893174,15.426282,14.994172,14.233262,14.972132,14.611842,15.834497,15.413628,15.006013
_20_squ_rel_diff,0.159460,0.125155,0.099806,0.114941,0.145229,0.295959,0.127612,0.129652,0.422196,0.991056,0.261106
_20_threshold_delta_1.25,0.523439,0.658414,0.810091,0.654170,0.622412,0.583188,0.684913,0.648478,0.462923,0.266639,0.591467
_20_threshold_delta_1.25^2,0.861531,0.870359,0.935820,0.869003,0.839217,0.792485,0.881808,0.860882,0.726662,0.506969,0.814474
_20_threshold_delta_1.25^3,0.956699,0.943090,0.969872,0.945659,0.927223,0.891788,0.945055,0.942893,0.855573,0.705588,0.908344
_30_RMS_linear,5.948748,5.094615,5.590689,5.321903,5.901183,6.973028,5.875423,6.106420,9.605203,12.432285,6.884950
_30_RMS_log,0.290596,0.277776,0.231361,0.275800,0.311917,0.348528,0.269962,0.298213,0.387650,0.499735,0.319154
_30_SILog,0.059624,0.082661,0.053042,0.078872,0.102605,0.114297,0.067504,0.093380,0.097556,0.108432,0.085797
_30_abs_rel_diff,0.252126,0.202123,0.178683,0.205098,0.224018,0.300426,0.211315,0.230081,0.367833,0.569817,0.274152
_30_mean_depth_error,4.639491,3.581432,3.283240,3.686705,3.989323,4.929656,3.928106,4.107271,7.139968,10.352919,4.963811
_30_mean_prediction_depth,23.464339,21.530909,20.957098,21.191603,21.346713,21.607523,22.303118,20.877074,27.097954,29.977368,23.035370
_30_mean_target_depth,19.690531,19.258713,18.568477,19.154329,19.110726,18.062839,19.305774,18.393232,20.824478,20.345131,19.271423
_30_median_diff,3.745521,2.411586,2.093345,2.170915,2.220309,3.251886,2.857691,2.079143,5.532644,8.807856,3.517090
_30_median_prediction_depth,23.701513,21.681112,20.337086,21.207689,21.231286,20.807049,22.197896,20.176156,26.654560,29.309292,22.730364
_30_median_target_depth,19.958007,19.287297,18.243741,19.073025,19.022538,17.618782,19.352188,18.129373,21.162240,20.536502,19.238369
_30_squ_rel_diff,0.121126,0.098922,0.101466,0.096143,0.118307,0.238551,0.110753,0.123112,0.313948,0.652342,0.197467
_30_threshold_delta_1.25,0.588968,0.728742,0.800286,0.697726,0.668628,0.609682,0.717430,0.661827,0.514060,0.323698,0.631105
_30_threshold_delta_1.25^2,0.912189,0.906997,0.935387,0.903867,0.877232,0.820847,0.902401,0.870837,0.789299,0.615006,0.853406
_30_threshold_delta_1.25^3,0.973808,0.963787,0.972996,0.965809,0.954087,0.919396,0.963933,0.958194,0.904165,0.817143,0.939332
