METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.959761,3.518401,2.320952,4.586770,4.111287,4.981792,3.633926,3.803846,6.125066,13.138654,5.018046
_10_RMS_log,0.517186,0.589346,0.338073,0.759874,0.712468,0.654814,0.645428,0.585775,0.865913,1.102066,0.677094
_10_SILog,0.100338,0.166641,0.080527,0.220080,0.233227,0.326055,0.149874,0.145964,0.243804,0.245445,0.191195
_10_abs_rel_diff,0.414908,0.370443,0.245714,0.486253,0.425004,0.496561,0.389860,0.400684,0.652631,1.415575,0.529763
_10_mean_depth_error,3.649649,3.276257,2.147321,4.355454,3.745855,4.397589,3.472756,3.527835,5.927815,12.799685,4.730022
_10_mean_prediction_depth,9.301174,7.453875,8.025502,7.490836,6.761187,9.527138,7.364968,7.320612,9.151297,18.085005,9.048159
_10_mean_target_depth,8.865698,8.721564,8.866926,8.892200,8.892504,8.683608,8.938113,8.905851,7.945258,8.544143,8.725586
_10_median_diff,3.409802,3.036271,2.035679,4.131770,3.343341,3.592609,3.333282,3.198980,5.775895,12.581371,4.443900
_10_median_prediction_depth,9.158458,7.340979,7.919352,7.281149,6.502591,9.132283,7.310485,7.032487,9.023295,17.989413,8.869049
_10_median_target_depth,8.925837,8.760261,8.911338,8.947702,8.998354,8.725415,9.006265,8.948232,7.991164,8.592057,8.780662
_10_squ_rel_diff,0.291960,0.223364,0.135698,0.395712,0.302287,0.574129,0.250739,0.269902,1.014144,3.619464,0.707740
_10_threshold_delta_1.25,0.334061,0.323001,0.600066,0.243107,0.285266,0.327289,0.344080,0.300299,0.180245,0.096590,0.303400
_10_threshold_delta_1.25^2,0.606769,0.604507,0.793242,0.463431,0.529006,0.564511,0.592877,0.545339,0.333896,0.187757,0.522134
_10_threshold_delta_1.25^3,0.805391,0.748992,0.880018,0.634329,0.678098,0.699540,0.731877,0.728825,0.468230,0.291309,0.666661
_20_RMS_linear,5.042482,4.331369,4.263120,5.070510,4.901324,6.515309,4.747702,4.994970,8.765097,14.822269,6.345415
_20_RMS_log,0.333873,0.312132,0.235609,0.357856,0.352691,0.416640,0.333185,0.339140,0.511043,0.701095,0.389326
_20_SILog,0.067285,0.095340,0.056156,0.122421,0.131236,0.158173,0.103915,0.110241,0.166877,0.137705,0.114935
