METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.585180,2.268898,1.447268,2.566598,2.505605,2.635253,2.351265,2.241627,4.132150,3.979112,2.771296
_10_RMS_log,0.359951,0.307771,0.183875,0.365390,0.298266,0.303081,0.287418,0.286953,0.366364,0.448705,0.320777
_10_SILog,0.023678,0.033750,0.009557,0.061542,0.038058,0.070426,0.030046,0.039336,0.012364,0.060359,0.037912
_10_abs_rel_diff,0.382656,0.233456,0.152355,0.269552,0.252056,0.255774,0.245214,0.225946,0.441237,0.420134,0.287838
_10_mean_depth_error,3.366038,2.045137,1.330667,2.394970,2.200276,2.259456,2.157730,1.987408,3.966806,3.788535,2.549702
_10_mean_prediction_depth,10.659317,7.564759,8.105319,7.906902,8.066223,8.990549,8.496718,7.900745,11.876970,10.421323,8.998883
_10_mean_target_depth,8.853663,8.691598,8.863305,8.916222,8.849596,8.660224,8.895564,8.897565,9.031416,8.856194,8.851535
_10_median_diff,3.192627,1.879700,1.254127,2.197985,1.843123,1.783371,1.981261,1.729896,3.825846,3.627421,2.331536
_10_median_prediction_depth,10.576821,7.505373,8.072304,7.804371,7.932048,8.837140,8.401234,7.735826,11.798288,10.365817,8.902922
_10_median_target_depth,8.914727,8.729727,8.907484,8.971699,8.960587,8.700733,8.966719,8.939367,9.092935,8.906755,8.909073
_10_squ_rel_diff,0.262972,0.108400,0.040990,0.130645,0.124852,0.137155,0.130756,0.109668,0.411197,0.383750,0.184039
_10_threshold_delta_1.25,0.392472,0.530863,0.751712,0.492547,0.495378,0.534779,0.530491,0.578848,0.388492,0.388494,0.508408
_10_threshold_delta_1.25^2,0.713982,0.785453,0.936109,0.779231,0.822965,0.807874,0.851141,0.843861,0.685124,0.660930,0.788667
_10_threshold_delta_1.25^3,0.893078,0.893840,0.982370,0.893125,0.943095,0.909112,0.943702,0.933208,0.878982,0.809769,0.908028
_20_RMS_linear,4.793539,2.514528,2.095522,2.826038,2.924673,3.490233,2.804683,2.614278,5.174783,5.509335,3.474761
_20_RMS_log,0.286126,0.178871,0.126399,0.198433,0.190501,0.224258,0.183364,0.183727,0.277902,0.305545,0.215513
_20_SILog,0.024919,0.032526,0.014610,0.040392,0.032680,0.050330,0.027274,0.035885,0.023247,0.050599,0.033246
_20_abs_rel_diff,0.300728,0.133138,0.094263,0.148209,0.145372,0.185130,0.151001,0.135270,0.297198,0.302942,0.189325
_20_mean_depth_error,4.199591,1.822663,1.343945,2.084085,1.977455,2.497536,2.078546,1.839039,4.315090,4.389821,2.654777
_20_mean_prediction_depth,18.206818,15.282254,15.207524,15.775972,15.566273,15.680685,15.887837,14.889521,19.348258,18.592392,16.443753
_20_mean_target_depth,14.498112,14.606462,14.649349,14.936583,14.638606,14.170554,14.639532,14.393118,15.401859,15.177867,14.711204
_20_median_diff,3.714645,1.048592,0.697186,1.184798,1.102312,1.477794,1.553634,0.811650,3.812936,3.455343,1.885889
_20_median_prediction_depth,18.402853,15.573736,15.352921,16.159357,15.864052,15.426199,16.279716,14.975868,19.403896,18.265599,16.570420
_20_median_target_depth,14.784429,14.867721,14.891529,15.424535,14.986301,14.219514,14.967167,14.607685,15.790907,15.371922,14.991171
_20_squ_rel_diff,0.157077,0.046829,0.023575,0.053325,0.056825,0.087914,0.060024,0.046280,0.196194,0.214147,0.094219
_20_threshold_delta_1.25,0.501312,0.844577,0.934995,0.810037,0.819673,0.749504,0.816084,0.833876,0.571976,0.583785,0.746582
_20_threshold_delta_1.25^2,0.854658,0.962667,0.987410,0.947064,0.956048,0.929213,0.963903,0.959326,0.868863,0.837977,0.926713
_20_threshold_delta_1.25^3,0.974355,0.986495,0.996315,0.984091,0.986768,0.975943,0.987799,0.985664,0.958808,0.938048,0.977429
_30_RMS_linear,5.638770,3.265996,3.196900,3.675171,3.537527,4.686864,3.546890,3.546356,6.019670,6.999712,4.411386
_30_RMS_log,0.257183,0.162877,0.136827,0.186087,0.174137,0.220514,0.167804,0.177993,0.244318,0.281138,0.200888
_30_SILog,0.031762,0.027436,0.018201,0.035509,0.028608,0.048358,0.023953,0.035347,0.028110,0.049015,0.032630
_30_abs_rel_diff,0.257302,0.121958,0.102082,0.142077,0.131405,0.181377,0.133208,0.134872,0.235557,0.265438,0.170527
_30_mean_depth_error,4.718499,2.223061,1.918908,2.592849,2.345746,3.187381,2.385730,2.404946,4.479640,5.069977,3.132674
_30_mean_prediction_depth,23.580709,20.435044,19.628343,20.559103,20.368420,20.086065,20.949313,19.515000,24.876048,24.565670,21.456372
_30_mean_target_depth,19.679357,19.241685,18.569409,19.151924,19.100939,18.047441,19.301416,18.388960,20.783846,20.298593,19.256357
_30_median_diff,3.585469,1.302140,0.889481,1.444254,1.335892,1.651797,1.804968,1.071205,3.548580,3.524244,2.015803
_30_median_prediction_depth,23.501049,20.468024,19.044899,20.379873,20.276895,19.139920,21.113012,19.035284,24.648127,23.811609,21.141869
_30_median_target_depth,19.949974,19.275067,18.247586,19.072202,19.015059,17.606644,19.349895,18.125473,21.132897,20.499318,19.227412
_30_squ_rel_diff,0.116122,0.038925,0.028007,0.047685,0.044999,0.081645,0.047700,0.043377,0.135064,0.169535,0.075306
_30_threshold_delta_1.25,0.571689,0.877400,0.924043,0.827364,0.851574,0.754277,0.854158,0.838337,0.689496,0.641245,0.782958
_30_threshold_delta_1.25^2,0.911257,0.972595,0.983505,0.959286,0.967533,0.933246,0.973127,0.966499,0.909858,0.871911,0.944882
_30_threshold_delta_1.25^3,0.985577,0.991422,0.995444,0.989461,0.991071,0.980091,0.991780,0.989655,0.971063,0.955738,0.984130
_RMS_linear,8.936235,5.968603,5.766437,6.587807,6.212208,7.741553,6.425712,6.218223,9.366007,9.841773,7.306456
_RMS_log,0.243204,0.167483,0.160256,0.194836,0.174577,0.228435,0.166456,0.182049,0.221095,0.243683,0.198207
_SILog,0.062951,0.030619,0.026418,0.043219,0.031719,0.057991,0.029547,0.036511,0.051593,0.063968,0.043453
_abs_rel_diff,0.208041,0.121656,0.110153,0.143561,0.126543,0.172899,0.125960,0.135020,0.183655,0.197649,0.152514
_mean_depth_error,6.771825,3.894924,3.338931,4.304101,3.999557,5.108837,4.283309,4.104860,6.853888,7.193302,4.985353
_mean_prediction_depth,35.430274,32.278617,28.341504,29.834606,32.327198,29.996127,34.786955,30.751523,40.015813,40.002006,33.376462
_mean_target_depth,35.547647,32.348974,28.351615,29.836348,32.363563,29.993491,34.937185,30.767099,40.117598,40.035369,33.429889
_median_diff,1.743273,1.768566,1.500571,1.861121,1.474738,2.200500,1.686179,2.096822,2.291759,3.511136,2.013467
_median_prediction_depth,33.694411,30.052039,25.934528,27.456395,29.699976,27.641954,32.309525,28.301854,39.162614,40.433710,31.468700
_median_target_depth,32.692350,28.645141,24.648833,25.904167,28.597664,25.827829,31.207355,26.467343,38.070589,38.673924,30.073519
_squ_rel_diff,0.076024,0.033624,0.028494,0.043621,0.036680,0.065068,0.036506,0.038727,0.073905,0.088999,0.052165
_threshold_delta_1.25,0.637484,0.862277,0.893792,0.804418,0.848642,0.743338,0.852788,0.824105,0.725177,0.699784,0.789181
_threshold_delta_1.25^2,0.924722,0.973451,0.975090,0.957840,0.970726,0.935611,0.978628,0.969737,0.939245,0.917717,0.954277
_threshold_delta_1.25^3,0.986747,0.993253,0.992479,0.989271,0.992612,0.981317,0.994451,0.992133,0.987576,0.978669,0.988851
