METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.159515,2.330957,1.545650,2.676876,2.754313,2.820492,2.307116,2.391743,3.894835,4.346236,2.822773
_10_RMS_log,0.337817,0.327692,0.206492,0.386932,0.346230,0.341010,0.285535,0.317336,0.377488,0.502039,0.342857
_10_SILog,0.027128,0.034304,0.010611,0.053871,0.044534,0.106073,0.029999,0.036259,0.023323,0.066591,0.043269
_10_abs_rel_diff,0.335035,0.243058,0.168438,0.286316,0.282700,0.275873,0.237713,0.247521,0.415515,0.460788,0.295296
_10_mean_depth_error,2.943821,2.127457,1.468695,2.540239,2.466720,2.440323,2.089971,2.171749,3.741090,4.159025,2.614909
_10_mean_prediction_depth,9.960022,7.341709,7.834841,7.569638,7.583511,8.871078,8.245545,7.348348,11.255838,10.187660,8.619819
_10_mean_target_depth,8.853350,8.690461,8.863305,8.912351,8.849645,8.662477,8.895982,8.897125,9.043291,8.850415,8.851840
_10_median_diff,2.763719,1.975507,1.425758,2.375465,2.124374,1.905023,1.892349,1.927576,3.611534,3.976055,2.397736
_10_median_prediction_depth,9.876115,7.294224,7.832013,7.478682,7.433525,8.672930,8.142393,7.199082,11.196602,10.110184,8.523575
_10_median_target_depth,8.914404,8.728526,8.907484,8.967765,8.960605,8.703937,8.967335,8.938819,9.104998,8.899671,8.909354
_10_squ_rel_diff,0.201141,0.109969,0.049062,0.138938,0.142576,0.156485,0.132567,0.117783,0.339565,0.447085,0.183517
_10_threshold_delta_1.25,0.446341,0.499046,0.690153,0.441238,0.404713,0.501926,0.556693,0.469997,0.377779,0.334322,0.472221
_10_threshold_delta_1.25^2,0.748849,0.762251,0.905956,0.733578,0.753085,0.779754,0.843409,0.803562,0.684336,0.597258,0.761204
_10_threshold_delta_1.25^3,0.910514,0.875450,0.965986,0.866552,0.918019,0.888931,0.939561,0.926444,0.874144,0.766582,0.893218
_20_RMS_linear,4.370898,2.471742,2.214919,2.889009,2.899980,3.682841,2.688933,2.596285,4.896004,5.683132,3.439374
_20_RMS_log,0.264933,0.182838,0.134372,0.207683,0.200153,0.242539,0.177697,0.188321,0.270590,0.322594,0.219172
_20_SILog,0.026797,0.034836,0.017266,0.041562,0.037846,0.062918,0.027461,0.037810,0.026260,0.059071,0.037183
_20_abs_rel_diff,0.266806,0.131931,0.097411,0.154348,0.147023,0.197664,0.141137,0.134889,0.279333,0.317010,0.186755
_20_mean_depth_error,3.752132,1.797122,1.379828,2.163541,1.973750,2.660616,1.937022,1.809091,4.045608,4.565665,2.608437
_20_mean_prediction_depth,17.671458,15.086497,15.204302,15.642261,15.256085,15.679801,15.652823,14.586275,18.972186,18.522451,16.227414
_20_mean_target_depth,14.497927,14.605519,14.649345,14.933724,14.638622,14.175461,14.639820,14.392675,15.402438,15.181503,14.711704
_20_median_diff,3.185536,0.975517,0.695459,1.219973,0.935419,1.518161,1.353113,0.717239,3.500267,3.596380,1.769706
_20_median_prediction_depth,17.872965,15.334882,15.336200,16.016911,15.564019,15.439160,16.002135,14.673251,19.045047,18.227096,16.351166
_20_median_target_depth,14.784154,14.867033,14.891492,15.422147,14.986312,14.224415,14.967460,14.607442,15.791536,15.375066,14.991706
_20_squ_rel_diff,0.126490,0.044364,0.027120,0.055580,0.056958,0.099371,0.057109,0.047399,0.173361,0.244197,0.093195
_20_threshold_delta_1.25,0.562625,0.838463,0.917779,0.788660,0.804206,0.727535,0.840399,0.823727,0.589925,0.562287,0.745561
_20_threshold_delta_1.25^2,0.885002,0.958764,0.984077,0.941603,0.949289,0.914802,0.963894,0.952456,0.875258,0.823482,0.924863
_20_threshold_delta_1.25^3,0.981778,0.984276,0.994683,0.981506,0.984241,0.968739,0.987082,0.984202,0.966594,0.927899,0.976100
_30_RMS_linear,5.348478,3.220216,3.333678,3.785350,3.565326,4.934161,3.485471,3.531990,5.878230,7.202160,4.428506
_30_RMS_log,0.243218,0.164469,0.143761,0.194399,0.180870,0.236206,0.163683,0.180054,0.239447,0.293048,0.203915
_30_SILog,0.031534,0.028960,0.020455,0.037889,0.032275,0.059944,0.024181,0.036374,0.029115,0.054705,0.035543
_30_abs_rel_diff,0.236624,0.120953,0.106127,0.147583,0.132924,0.191373,0.126987,0.133317,0.225422,0.277476,0.169879
_30_mean_depth_error,4.404190,2.202443,1.982701,2.686969,2.362492,3.357810,2.298029,2.361329,4.315457,5.279963,3.125138
_30_mean_prediction_depth,23.220199,20.331331,19.680204,20.540738,20.238832,20.122220,20.795965,19.345274,24.660667,24.639700,21.357513
_30_mean_target_depth,19.679291,19.241337,18.568352,19.149396,19.100906,18.052711,19.301349,18.388588,20.784540,20.302045,19.256851
_30_median_diff,3.297163,1.214922,0.923707,1.489390,1.214922,1.625479,1.598034,0.926289,3.386598,3.594857,1.927136
_30_median_prediction_depth,23.216480,20.386385,19.088406,20.417877,20.149408,19.073828,20.897530,18.849334,24.479941,23.894004,21.045319
_30_median_target_depth,19.949928,19.275223,18.246370,19.069869,19.015029,17.610574,19.349993,18.125341,21.133670,20.503695,19.227969
_30_squ_rel_diff,0.098483,0.036830,0.031513,0.049910,0.045466,0.090336,0.045897,0.043697,0.123946,0.185927,0.075200
_30_threshold_delta_1.25,0.609469,0.874386,0.907319,0.808744,0.840858,0.736972,0.868028,0.834991,0.699385,0.618284,0.779844
_30_threshold_delta_1.25^2,0.928841,0.971644,0.981289,0.955383,0.964065,0.921172,0.973837,0.962431,0.915833,0.859246,0.943374
_30_threshold_delta_1.25^3,0.988945,0.990664,0.994334,0.987667,0.989601,0.975056,0.991546,0.989038,0.974579,0.951310,0.983274
_RMS_linear,8.658595,5.861862,5.925733,6.611903,6.185472,7.838524,6.359202,6.087009,9.200744,10.054418,7.278346
_RMS_log,0.232844,0.166713,0.166254,0.199590,0.177164,0.238822,0.163827,0.179904,0.217594,0.250827,0.199354
_SILog,0.057726,0.030276,0.028641,0.044804,0.032561,0.063751,0.028610,0.035238,0.049816,0.067289,0.043871
_abs_rel_diff,0.196064,0.119980,0.114365,0.147376,0.127212,0.179014,0.122673,0.132645,0.178807,0.203975,0.152211
_mean_depth_error,6.483832,3.836051,3.456900,4.367708,3.996572,5.206924,4.213154,4.026703,6.706622,7.419108,4.971357
_mean_prediction_depth,35.454825,32.295673,28.338567,29.835236,32.365312,30.006198,34.852311,30.758482,40.014890,40.019965,33.394146
_mean_target_depth,35.562677,32.362271,28.353590,29.837502,32.392932,30.001023,34.978924,30.772044,40.114743,40.041993,33.441770
_median_diff,1.721928,1.780472,1.603810,1.959109,1.639398,2.294281,1.715852,2.266019,2.326038,3.856680,2.116359
_median_prediction_depth,33.933430,30.145187,26.036013,27.588688,29.987034,27.780873,32.451883,28.550304,39.271378,40.992260,31.673705
_median_target_depth,32.710170,28.645259,24.651141,25.902044,28.616642,25.834062,31.245438,26.467393,38.067754,38.696871,30.083677
_squ_rel_diff,0.067208,0.031831,0.031377,0.045023,0.036841,0.070128,0.035501,0.038107,0.069607,0.092609,0.051823
_threshold_delta_1.25,0.663606,0.865017,0.878961,0.792014,0.844996,0.731140,0.862698,0.830188,0.734709,0.683149,0.788648
_threshold_delta_1.25^2,0.935958,0.974399,0.973733,0.956001,0.969627,0.929663,0.979306,0.970081,0.943630,0.912591,0.954499
_threshold_delta_1.25^3,0.989208,0.993149,0.991698,0.988229,0.992088,0.979158,0.994358,0.992377,0.988152,0.978520,0.988694
