METRIC,test/outdoor_day1,test/outdoor_night1,test/outdoor_night2,test/outdoor_night3,MEAN
_10_RMS_linear,3.825125,5.692946,4.856881,5.174022,4.887243
_10_RMS_log,0.671773,0.798487,0.665700,0.675956,0.702979
_10_SILog,0.433844,0.542218,0.361625,0.326486,0.416043
_10_abs_rel_diff,0.491026,0.838077,0.666175,0.713445,0.677181
_10_mean_depth_error,2.588163,4.123033,3.491489,3.812431,3.503779
_10_mean_prediction_depth,7.337330,8.849584,8.668868,9.098053,8.488458
_10_mean_target_depth,5.634590,5.524218,5.849575,5.808872,5.704314
_10_median_diff,1.380028,2.723833,2.221490,2.640263,2.241404
_10_median_prediction_depth,6.713432,8.013734,7.881991,8.280120,7.722319
_10_median_target_depth,5.395319,5.308408,5.696246,5.648244,5.512054
_10_squ_rel_diff,0.722735,2.908683,1.430888,1.198425,1.565183
_10_threshold_delta_1.25,0.403313,0.252655,0.322835,0.275638,0.313610
_10_threshold_delta_1.25^2,0.661837,0.471505,0.569396,0.530809,0.558387
_10_threshold_delta_1.25^3,0.797686,0.642888,0.737344,0.714388,0.723077
_20_RMS_linear,4.745227,6.194167,5.192936,5.230383,5.340678
_20_RMS_log,0.604631,0.705342,0.572985,0.575025,0.614496
_20_SILog,0.357779,0.433668,0.292027,0.268444,0.337979
_20_abs_rel_diff,0.461796,0.730955,0.549564,0.566055,0.577093
_20_mean_depth_error,3.249113,4.622067,3.841991,3.920363,3.908384
_20_mean_prediction_depth,10.309318,11.920772,11.693294,11.865998,11.447346
_20_mean_target_depth,7.946216,8.201388,8.909020,8.925614,8.495559
_20_median_diff,2.372193,4.255063,3.314311,3.599237,3.385201
_20_median_prediction_depth,9.158189,11.278239,11.298623,11.588549,10.830900
_20_median_target_depth,6.788002,7.023417,7.986472,7.990423,7.447079
_20_squ_rel_diff,0.613413,2.293830,1.038578,0.838251,1.196018
_20_threshold_delta_1.25,0.412990,0.288557,0.377174,0.357619,0.359085
_20_threshold_delta_1.25^2,0.692744,0.542131,0.651994,0.639785,0.631663
_20_threshold_delta_1.25^3,0.834355,0.718234,0.811765,0.803505,0.791965
_30_RMS_linear,4.946446,6.314257,5.453479,5.492433,5.551654
_30_RMS_log,0.581732,0.672811,0.548624,0.551474,0.588660
_30_SILog,0.335955,0.411974,0.286004,0.274738,0.327168
_30_abs_rel_diff,0.438522,0.673613,0.506726,0.521550,0.535103
_30_mean_depth_error,3.430508,4.737240,4.065246,4.159048,4.098011
_30_mean_prediction_depth,11.634665,13.179268,12.902557,12.841496,12.639497
_30_mean_target_depth,9.551514,10.182466,10.907523,10.914824,10.389082
_30_median_diff,2.809602,4.823400,3.568931,3.711936,3.728467
_30_median_prediction_depth,10.320476,12.863695,12.878975,12.994103,12.264312
_30_median_target_depth,7.512984,8.040548,9.317152,9.292722,8.540852
_30_squ_rel_diff,0.566579,2.030247,0.886315,0.728202,1.052836
_30_threshold_delta_1.25,0.432150,0.320039,0.395998,0.373795,0.380495
_30_threshold_delta_1.25^2,0.710967,0.575812,0.672041,0.657249,0.654017
_30_threshold_delta_1.25^3,0.847072,0.742988,0.828129,0.821031,0.809805
_RMS_linear,7.690175,9.568796,8.145484,8.377515,8.445493
_RMS_log,0.580370,0.672748,0.561559,0.571571,0.596562
_SILog,0.343441,0.448342,0.316738,0.318931,0.356863
_abs_rel_diff,0.427213,0.638533,0.496643,0.516336,0.519681
_mean_depth_error,4.630334,6.342673,5.270222,5.428587,5.417954
_mean_prediction_depth,13.068875,14.409665,13.750910,13.424851,13.663575
_mean_target_depth,12.762612,13.974058,13.546786,13.270619,13.388519
_median_diff,3.318866,5.211797,3.678719,3.684876,3.973564
_median_prediction_depth,11.794592,14.512935,14.094656,13.847613,13.562449
_median_target_depth,8.477587,9.301678,10.434410,10.175465,9.597285
_squ_rel_diff,0.523968,1.798953,0.820830,0.685166,0.957229
_threshold_delta_1.25,0.420050,0.303449,0.377061,0.351299,0.362965
_threshold_delta_1.25^2,0.695995,0.556311,0.648692,0.627316,0.632079
_threshold_delta_1.25^3,0.837737,0.731470,0.811153,0.796883,0.794311
