METRIC,test/outdoor_day1,test/outdoor_night1,test/outdoor_night2,test/outdoor_night3,MEAN
_10_RMS_linear,3.911775,5.656225,4.983826,5.292908,4.961183
_10_RMS_log,0.688514,0.805801,0.668821,0.675839,0.709744
_10_SILog,0.449376,0.564108,0.367748,0.320889,0.425530
_10_abs_rel_diff,0.516339,0.823421,0.677805,0.727451,0.686254
_10_mean_depth_error,2.673522,4.056655,3.552613,3.879808,3.540649
_10_mean_prediction_depth,7.384555,8.700397,8.714523,9.180740,8.495054
_10_mean_target_depth,5.619804,5.542348,5.846611,5.802196,5.702740
_10_median_diff,1.428611,2.499554,2.178019,2.661589,2.191943
_10_median_prediction_depth,6.748528,7.792783,7.841429,8.295552,7.669573
_10_median_target_depth,5.381051,5.325826,5.695024,5.642254,5.511039
_10_squ_rel_diff,0.805619,2.915541,1.492658,1.241249,1.613767
_10_threshold_delta_1.25,0.393525,0.266358,0.333566,0.283061,0.319128
_10_threshold_delta_1.25^2,0.643911,0.477340,0.567931,0.524793,0.553494
_10_threshold_delta_1.25^3,0.783161,0.641951,0.729824,0.704531,0.714867
_20_RMS_linear,4.777670,6.177401,5.254275,5.304105,5.378363
_20_RMS_log,0.619147,0.710282,0.574909,0.574998,0.619834
_20_SILog,0.373001,0.446209,0.295865,0.264645,0.344930
_20_abs_rel_diff,0.479057,0.721077,0.555974,0.575736,0.582961
_20_mean_depth_error,3.291244,4.571075,3.857621,3.956550,3.919122
_20_mean_prediction_depth,10.287427,11.842156,11.694055,11.889621,11.428315
_20_mean_target_depth,7.928276,8.225987,8.906063,8.918114,8.494610
_20_median_diff,2.389490,4.029114,3.277295,3.564539,3.315109
_20_median_prediction_depth,9.154414,11.075955,11.262023,11.546585,10.759744
_20_median_target_depth,6.767445,7.046841,7.986049,7.982931,7.445817
_20_squ_rel_diff,0.672597,2.306006,1.077705,0.869328,1.231409
_20_threshold_delta_1.25,0.407595,0.300765,0.388090,0.363975,0.365106
_20_threshold_delta_1.25^2,0.680390,0.546803,0.652882,0.635439,0.628879
_20_threshold_delta_1.25^3,0.822983,0.717570,0.806738,0.796832,0.786031
_30_RMS_linear,4.992435,6.283311,5.493482,5.552967,5.580549
_30_RMS_log,0.595989,0.676395,0.549794,0.551183,0.593340
_30_SILog,0.351836,0.421860,0.288665,0.272376,0.333684
_30_abs_rel_diff,0.454593,0.664172,0.511513,0.529876,0.540039
_30_mean_depth_error,3.480743,4.686800,4.072197,4.192383,4.108031
_30_mean_prediction_depth,11.583379,13.138906,12.896552,12.840824,12.614915
_30_mean_target_depth,9.530498,10.211219,10.905560,10.906298,10.388394
_30_median_diff,2.808779,4.648360,3.571002,3.667452,3.673898
_30_median_prediction_depth,10.293752,12.721846,12.883215,12.941635,12.210112
_30_median_target_depth,7.489225,8.073500,9.318177,9.286230,8.541783
_30_squ_rel_diff,0.620156,2.038460,0.915535,0.754193,1.082086
_30_threshold_delta_1.25,0.425458,0.331509,0.405411,0.378310,0.385172
_30_threshold_delta_1.25^2,0.698537,0.580880,0.673314,0.653160,0.651473
_30_threshold_delta_1.25^3,0.836232,0.743293,0.824587,0.815733,0.804961
_RMS_linear,7.710634,9.376764,8.168936,8.434221,8.422638
_RMS_log,0.594042,0.671941,0.562189,0.571299,0.599868
_SILog,0.359395,0.448416,0.318430,0.317755,0.360999
_abs_rel_diff,0.442316,0.628512,0.500900,0.524130,0.523965
_mean_depth_error,4.674874,6.220307,5.275707,5.468275,5.409791
_mean_prediction_depth,13.024475,14.473751,13.745539,13.412521,13.664071
_mean_target_depth,12.733545,14.017353,13.543738,13.260416,13.388763
_median_diff,3.288774,5.191234,3.780063,3.699608,3.989920
_median_prediction_depth,11.731512,14.535617,14.187817,13.848866,13.575953
_median_target_depth,8.447073,9.344772,10.432955,10.164409,9.597302
_squ_rel_diff,0.573188,1.807900,0.846825,0.708916,0.984208
_threshold_delta_1.25,0.413663,0.315899,0.385713,0.355099,0.367593
_threshold_delta_1.25^2,0.683831,0.564523,0.649648,0.622853,0.630214
_threshold_delta_1.25^3,0.827375,0.735842,0.807842,0.791592,0.790662
