METRIC,interlaken_00_f,interlaken_00_g,thun_00_a,zurich_city_05_a,zurich_city_05_b,zurich_city_06_a,zurich_city_07_a,zurich_city_08_a,zurich_city_09_d,zurich_city_10_b,MEAN
_10_RMS_linear,3.003690,1.931811,1.102465,1.702339,1.635380,2.861168,2.125385,1.877271,2.850473,3.508364,2.259835
_10_RMS_log,0.291965,0.275313,0.136958,0.202765,0.184922,0.306515,0.287365,0.245327,0.321231,0.431292,0.268365
_10_SILog,0.007989,0.019723,0.005079,0.011190,0.014724,0.073310,0.015668,0.021704,0.026435,0.042042,0.023786
_10_abs_rel_diff,0.324481,0.207246,0.116538,0.176016,0.158962,0.279076,0.226810,0.193254,0.301197,0.372820,0.235640
_10_mean_depth_error,2.853550,1.808196,1.014252,1.557737,1.385688,2.463608,1.993551,1.696987,2.712155,3.363883,2.084961
_10_mean_prediction_depth,10.662371,7.232139,8.361101,8.347087,8.376951,9.677677,7.483897,7.875524,9.664457,9.664256,8.734546
_10_mean_target_depth,8.852548,8.690016,8.863305,8.906246,8.849596,8.658964,8.893740,8.897295,9.043342,8.924347,8.857940
_10_median_diff,2.751464,1.719562,0.985874,1.409727,1.165215,2.071342,1.907351,1.535357,2.606989,3.280400,1.943328
_10_median_prediction_depth,10.634942,7.245273,8.369359,8.301996,8.357078,9.564679,7.482875,7.788374,9.620722,9.635503,8.700080
_10_median_target_depth,8.913680,8.728113,8.907484,8.961246,8.960587,8.698902,8.965050,8.939007,9.104920,8.976733,8.915572
_10_squ_rel_diff,0.179798,0.075062,0.023700,0.053396,0.055887,0.166110,0.090251,0.069808,0.178363,0.242625,0.113500
_10_threshold_delta_1.25,0.450632,0.557116,0.842763,0.666177,0.736592,0.536410,0.528638,0.614862,0.497113,0.370267,0.580057
_10_threshold_delta_1.25^2,0.804547,0.801791,0.975680,0.933530,0.955494,0.801795,0.808713,0.866369,0.777622,0.669520,0.839506
_10_threshold_delta_1.25^3,0.958876,0.912665,0.997475,0.980262,0.987741,0.905630,0.926955,0.957065,0.908351,0.846206,0.938123
_20_RMS_linear,3.943257,1.970307,2.110821,1.928173,2.030867,3.213425,2.021231,2.138065,3.807679,4.364376,2.752820
_20_RMS_log,0.238819,0.153782,0.116039,0.130712,0.131386,0.218212,0.153881,0.156126,0.221091,0.269384,0.178943
_20_SILog,0.014268,0.025389,0.012109,0.015915,0.015475,0.049382,0.022749,0.024114,0.026671,0.039376,0.024545
_20_abs_rel_diff,0.251892,0.106257,0.084113,0.099700,0.097004,0.175631,0.108170,0.113142,0.202419,0.249979,0.148831
_20_mean_depth_error,3.498769,1.435330,1.212447,1.388466,1.336111,2.281335,1.447786,1.519050,2.994553,3.612523,2.072637
_20_mean_prediction_depth,17.557791,14.806940,15.424771,15.342710,15.193141,15.506628,14.827921,14.799082,17.688636,17.775334,15.892295
_20_mean_target_depth,14.497303,14.605467,14.649349,14.931026,14.638606,14.169422,14.638437,14.392792,15.401967,15.175857,14.710022
_20_median_diff,3.103373,0.743883,0.812976,0.765630,0.765174,1.384224,0.802897,0.884271,2.400981,3.081382,1.474479
_20_median_prediction_depth,17.776311,15.122432,15.658337,15.815247,15.533158,15.337930,15.217021,15.039877,17.833090,17.800161,16.113356
_20_median_target_depth,14.783506,14.867156,14.891529,15.420669,14.986301,14.218516,14.966171,14.607477,15.790862,15.375556,14.990774
_20_squ_rel_diff,0.109909,0.027057,0.023012,0.022956,0.025385,0.079600,0.030241,0.030398,0.092483,0.123384,0.056442
_20_threshold_delta_1.25,0.571870,0.886339,0.948544,0.903388,0.912168,0.782714,0.876090,0.881752,0.712098,0.602465,0.807743
_20_threshold_delta_1.25^2,0.912323,0.968496,0.987482,0.987499,0.986052,0.933930,0.968907,0.969025,0.934829,0.897142,0.954568
_20_threshold_delta_1.25^3,0.990746,0.988949,0.996432,0.996873,0.996536,0.976839,0.990106,0.991210,0.982142,0.971968,0.988180
_30_RMS_linear,4.490040,2.542991,3.024883,2.539676,2.632580,4.090080,2.829289,2.693663,4.945317,5.235048,3.502357
_30_RMS_log,0.211925,0.137098,0.125163,0.127287,0.126652,0.210513,0.141530,0.146035,0.203380,0.234553,0.166414
